"Name","Ei_subarea.x","Full_population.x","Ho_size.x","Pln_cabang.x","Pop.x","Provinsi.x","Target_household_penetration_rate.x","X.x","Xy_source.x","Y.x","Metric...System","Demographics...Projected.household.count.y","Demand..household....Target.household.count.y","Demand...Projected.nodal.demand.per.year.y","System..grid....Transformer.cost.y","Demographics...Population.count.y","Demographics...Projected.population.count.y","order","piece","group","id","fake.node","root","branch","dist","MV.line.per.kwh","sequence","depth","Total.Downstream.Demand.kWh","Total.Downstream.Network.Extent.m","Phase","CummulativeNetworkExtent.m","CummulativeHousesConnected.qty"
8.20109e+11,"Halmahera",1615,3.863636364,"Ternate",421.13709,"MALUKU UTARA",0.260766,127.464078,"BIG_Settlements",1.058841,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",284,4.298076923,"Ternate",133.807736,"MALUKU UTARA",0.471154,127.678702,"BIG_Settlements",0.797235,"mini-grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",1505,3.20212766,"Ternate",323.41547,"MALUKU UTARA",0.214894,127.470628,"BIG_Settlements",1.072189,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",154,4.057142857,"Ternate",24.44442,"MALUKU UTARA",0.15873,127.600736,"BIG_Settlements",0.904557,"mini-grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",1192,4.110344828,"Ternate",369.93124,"MALUKU UTARA",0.310345,127.456385,"BIG_Settlements",1.057554,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",163,4.298076923,"Ternate",76.798102,"MALUKU UTARA",0.471154,127.637512,"BIG_Settlements",0.809472,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",1106,4.829694323,"Ternate",62.786514,"MALUKU UTARA",0.056769,127.467551,"BIG_Settlements",1.063097,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",698,3.793478261,"Ternate",151.738918,"MALUKU UTARA",0.217391,127.470555,"BIG_Settlements",1.092617,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",950,4.349775785,"Ternate",17.04015,"MALUKU UTARA",0.017937,127.473208,"BIG_Settlements",1.083903,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",274,3.301204819,"Ternate",23.108338,"MALUKU UTARA",0.084337,127.613175,"BIG_Settlements",0.860799,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",20,4.349775785,"Ternate",0.35874,"MALUKU UTARA",0.017937,127.478118,"BIG_Settlements",1.082593,"off-grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",624,5.086956522,"Ternate",37.304592,"MALUKU UTARA",0.059783,127.509263,"BIG_Settlements",0.893446,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",420,6.02970297,"Ternate",24.95052,"MALUKU UTARA",0.059406,127.513641,"BIG_Settlements",0.953481,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",180,4.761538462,"Ternate",34.61544,"MALUKU UTARA",0.192308,127.511699,"BIG_Settlements",0.922884,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",439,4.761538462,"Ternate",84.423212,"MALUKU UTARA",0.192308,127.511771,"BIG_Settlements",0.906257,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",985,3.021472393,"Ternate",803.711735,"MALUKU UTARA",0.815951,127.507119,"BIG_Settlements",0.980861,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",301,4.287878788,"Ternate",127.696842,"MALUKU UTARA",0.424242,127.461593,"BIG_Settlements",1.105361,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",382,3.858585859,"Ternate",123.474624,"MALUKU UTARA",0.323232,127.631093,"BIG_Settlements",0.875167,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",611,4.628787879,"Ternate",208.295399,"MALUKU UTARA",0.340909,127.624909,"BIG_Settlements",0.781077,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",669,4.316129032,"Ternate",176.961204,"MALUKU UTARA",0.264516,127.644459,"BIG_Settlements",0.783823,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",400,3.636363636,"Ternate",76.3636,"MALUKU UTARA",0.190909,127.412699,"BIG_Settlements",1.089696,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",25,4.9342723,"Ternate",5.985925,"MALUKU UTARA",0.239437,127.67573,"BIG_Settlements",0.830697,"off-grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",1058,4.007575758,"Ternate",925.75,"MALUKU UTARA",0.875,127.502592,"BIG_Settlements",0.987902,"grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.20109e+11,"Halmahera",1,2.879120879,"Ternate",0.626374,"MALUKU UTARA",0.626374,127.433133,"BIG_Settlements",1.111239,"off-grid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
