"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"MALUKU UTARA","TIDORE","GOTO",82,72,30,20,8272030020,0.82625482626,0.96101364522,513,493,2262,2262,2262,2262,"827203002099",127.439296553512,0.686549573724735,"Halmahera",NA,4.4093567251462,"827203002099"
"MALUKU UTARA","TIDORE SELATAN","TONGOWAI",82,72,10,3,8272010003,0.80303030303,0.89147286822,258,230,1151,1151,1151,1151,"827201000399",127.418119920727,0.640059704695951,"Halmahera",NA,4.46124031007752,"827201000399"
"MALUKU UTARA","TIDORE","SOA SIO",82,72,30,10,8272030010,0.96062992126,0.97169811321,318,309,1471,1471,1471,1471,"827203001099",127.433436854848,0.660016369345256,"Halmahera",NA,4.62578616352201,"827203001099"
"MALUKU UTARA","TIDORE","GAMTUFKANGE",82,72,30,11,8272030011,0.87719298246,0.87339449541,545,476,2607,2607,2607,2607,"827203001199",127.443118772508,0.662052289846739,"Halmahera",NA,4.78348623853211,"827203001199"
"MALUKU UTARA","TIDORE","TOPO TIGA",82,72,30,17,8272030017,0.5748502994,0.81904761905,105,86,497,497,497,497,"827203001799",127.425887372079,0.660461490443032,"Halmahera",NA,4.73333333333333,"827203001799"
"MALUKU UTARA","TIDORE","TOMAGOBA",82,72,30,18,8272030018,0.84134615385,0.94372990354,622,587,2866,2866,2866,2866,"827203001899",127.436456315317,0.672957911098481,"Halmahera",NA,4.60771704180064,"827203001899"
"MALUKU UTARA","OBA","WODA",82,72,40,8,8272040008,0.55421686747,0.36842105263,57,21,295,295,295,295,"827204000899",127.705475337348,0.413042625065254,"Halmahera",NA,5.17543859649123,"827204000899"
"MALUKU UTARA","OBA SELATAN","SELA MALOFO",82,72,41,1,8272041001,0.17647058824,0,111,0,535,535,535,535,"827204100199",127.741577717539,0.153369772604931,"Halmahera",NA,4.81981981981982,"827204100199"
"MALUKU UTARA","PULAU BATANG DUA","PANTAI SAGU",82,71,12,1,8271012001,0,0,42,0,175,175,175,175,"827101200199",126.14340503518,0.968331003458841,"Halmahera",NA,4.16666666666667,"827101200199"
"MALUKU UTARA","PULAU BATANG DUA","TIFURE",82,71,12,2,8271012002,0,0,120,0,508,508,508,508,"827101200299",126.147409800173,0.975270606630317,"Halmahera",NA,4.23333333333333,"827101200299"
"MALUKU UTARA","PULAU BATANG DUA","BIDO",82,71,12,5,8271012005,0,0,88,0,338,338,338,338,"827101200599",126.39620536518,1.32824515321114,"Halmahera",NA,3.84090909090909,"827101200599"
"MALUKU UTARA","PULAU BATANG DUA","PERUM BERSATU",82,71,12,6,8271012006,0,0,39,0,141,141,141,141,"827101200699",126.358782333269,1.32922435316856,"Halmahera",NA,3.61538461538462,"827101200699"
"MALUKU UTARA","PULAU BATANG DUA","LELEWI",82,71,12,3,8271012003,0,0,102,0,481,481,481,481,"827101200399",126.387056796265,1.3058990247573,"Halmahera",NA,4.7156862745098,"827101200399"
"MALUKU UTARA","PULAU BATANG DUA","MAYAU",82,71,12,4,8271012004,0,0,194,0,844,844,844,844,"827101200499",126.373192628283,1.33582826015206,"Halmahera",NA,4.35051546391753,"827101200499"
"MALUKU UTARA","PULAU HIRI","DORARI ISA",82,71,13,1,8271013001,0,0,80,0,463,463,463,463,"827101300199",127.314307817679,0.890610816279666,"Halmahera",NA,5.7875,"827101300199"
"MALUKU UTARA","TERNATE SELATAN","TANAH TINGGI",82,71,20,11,8271020011,1,0.86381842457,749,647,3511,3511,3511,3511,"827102001199",127.38016576495,0.779844564135142,"Halmahera",NA,4.68758344459279,"827102001199"
"MALUKU UTARA","TERNATE SELATAN","TOBOKO",82,71,20,10,8271020010,1,0.77927927928,444,346,2183,2183,2183,2183,"827102001099",127.383244315526,0.776915783568145,"Halmahera",NA,4.91666666666667,"827102001099"
"MALUKU UTARA","TERNATE SELATAN","BASTIONG TALANGAME",82,71,20,6,8271020006,1,0.77150537634,1116,861,5103,5103,5103,5103,"827102000699",127.374174830474,0.769287172829726,"Halmahera",NA,4.57258064516129,"827102000699"
"MALUKU UTARA","TERNATE SELATAN","SASA",82,71,20,1,8271020001,0.97,0.78230702515,1153,902,3671,3671,3671,3671,"827102000199",127.325971645982,0.766006207038626,"Halmahera",NA,3.18386816999133,"827102000199"
"MALUKU UTARA","TERNATE SELATAN","JATI PERUMNAS",82,71,20,23,8271020023,1,0.89685314685,572,513,2735,2735,2735,2735,"827102002399",127.370718924667,0.774026237192276,"Halmahera",NA,4.78146853146853,"827102002399"
"MALUKU UTARA","TERNATE SELATAN","TANAH TINGGI BARAT",82,71,20,25,8271020025,1,0.87643020595,437,383,2069,2069,2069,2069,"827102002599",127.371286459963,0.781522235110733,"Halmahera",NA,4.73455377574371,"827102002599"
"MALUKU UTARA","TERNATE SELATAN","TABONA",82,71,20,22,8271020022,0.87234042553,0.82573289902,614,507,3241,3241,3241,3241,"827102002299",127.359000453112,0.778144494578414,"Halmahera",NA,5.2785016286645,"827102002299"
"MALUKU UTARA","TERNATE SELATAN","UBO-UBO",82,71,20,7,8271020007,0.82772277228,0.90690690691,666,604,3041,3041,3041,3041,"827102000799",127.369767380302,0.767995959804817,"Halmahera",NA,4.56606606606607,"827102000799"
"MALUKU UTARA","TERNATE SELATAN","BASTIONG KARANCE",82,71,20,21,8271020021,1,0.85217391304,1035,882,4839,4839,4839,4839,"827102002199",127.373481237032,0.765186633007748,"Halmahera",NA,4.67536231884058,"827102002199"
"MALUKU UTARA","TERNATE SELATAN","JATI",82,71,20,9,8271020009,1,0.89842931937,955,858,4647,4647,4647,4647,"827102000999",127.371242557644,0.777594989279506,"Halmahera",NA,4.86596858638743,"827102000999"
"MALUKU UTARA","TERNATE SELATAN","MANGGA DUA UTARA",82,71,20,24,8271020024,1,0.92850333651,1049,974,4571,4571,4571,4571,"827102002499",127.379705713366,0.77652583083931,"Halmahera",NA,4.35748331744519,"827102002499"
"MALUKU UTARA","TERNATE SELATAN","MANGGA DUA",82,71,20,8,8271020008,1,0.78947368421,684,540,3683,3683,3683,3683,"827102000899",127.377032320543,0.77251857646564,"Halmahera",NA,5.38450292397661,"827102000899"
"MALUKU UTARA","TERNATE SELATAN","NGADE",82,71,20,20,8271020020,0.74850299401,0.71480144404,277,198,1277,1277,1277,1277,"827102002099",127.348531464772,0.769519425902783,"Halmahera",NA,4.6101083032491,"827102002099"
"MALUKU UTARA","TERNATE SELATAN","KAYU MERAH",82,71,20,5,8271020005,0.61111111111,0.91553701773,959,878,5096,5096,5096,5096,"827102000599",127.366722712499,0.76633370045842,"Halmahera",NA,5.31386861313869,"827102000599"
"MALUKU UTARA","TERNATE SELATAN","KALUMATA",82,71,20,4,8271020004,0.83281458426,0.79275905119,1602,1270,8456,8456,8456,8456,"827102000499",127.35719718109,0.769476800986164,"Halmahera",NA,5.27840199750312,"827102000499"
"MALUKU UTARA","TERNATE TENGAH","SALAHUDDIN",82,71,21,10,8271021010,1,0.93614595211,877,821,4700,4700,4700,4700,"827102101099",127.377082710795,0.79267878489848,"Halmahera",NA,5.35917901938426,"827102101099"
"MALUKU UTARA","TERNATE TENGAH","STADION",82,71,21,7,8271021007,0.09847198642,0.85421412301,439,375,1842,1842,1842,1842,"827102100799",127.383699582163,0.786155461874526,"Halmahera",NA,4.19589977220957,"827102100799"
"MALUKU UTARA","TERNATE TENGAH","TANAH RAJA",82,71,21,6,8271021006,1,0.98015873016,252,247,1258,1258,1258,1258,"827102100699",127.386015392835,0.785591604703643,"Halmahera",NA,4.99206349206349,"827102100699"
"MALUKU UTARA","TERNATE TENGAH","MUHAJIRIN",82,71,21,5,8271021005,1,0.96327683616,354,341,1886,1886,1886,1886,"827102100599",127.38782908777,0.785215332014935,"Halmahera",NA,5.32768361581921,"827102100599"
