"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"NUSA TENGGARA TIMUR","OEBOBO","OETETE",53,71,30,8,5371030008,0.94954407295,0.9957472661,1646,1639,7063,7063,7063,7063,"537103000899",123.589017913615,-10.1655622764837,"Area Kupan",NA,4.2910085054678,"537103000899"
"NUSA TENGGARA TIMUR","OEBOBO","FATULULI",53,71,30,10,5371030010,0.97978436658,0.98030221263,3706,3633,15469,15469,15469,15469,"537103001099",123.60833998726,-10.1632757183391,"Area Kupan",NA,4.17404209390178,"537103001099"
"NUSA TENGGARA TIMUR","MAULAFA","NAIKOLAN",53,71,20,9,5371020009,0.90005491488,0.99231191653,1821,1807,7514,7514,7514,7514,"537102000999",123.601852004413,-10.1899240620285,"Area Kupan",NA,4.12630422844591,"537102000999"
"NUSA TENGGARA TIMUR","ALAK","FATUFETO",53,71,10,7,5371010007,0.90096878364,0.98924731183,930,920,4540,4540,4540,4540,"537101000799",123.575513890686,-10.1683511977853,"Area Kupan",NA,4.88172043010753,"537101000799"
"NUSA TENGGARA TIMUR","ALAK","NUNBAUN DELHA",53,71,10,9,5371010009,0.85474860335,0.9748603352,716,698,3598,3598,3598,3598,"537101000999",123.57026470706,-10.1745922309316,"Area Kupan",NA,5.02513966480447,"537101000999"
"NUSA TENGGARA TIMUR","ALAK","MANTASI",53,71,10,6,5371010006,0.71428571429,0.97802197802,182,178,873,873,873,873,"537101000699",123.580330510588,-10.1708515012329,"Area Kupan",NA,4.7967032967033,"537101000699"
"NUSA TENGGARA TIMUR","ALAK","NUNHILA",53,71,10,8,5371010008,0.91964285714,0.9963898917,554,552,2441,2441,2441,2441,"537101000899",123.572285766825,-10.1682584481469,"Area Kupan",NA,4.40613718411552,"537101000899"
"NUSA TENGGARA TIMUR","SABU TENGAH","LOBOAJU",53,20,50,5,5320050005,0,0,147,0,593,593,593,593,"532005000599",121.950017321936,-10.4876907589728,"Area Kupan",NA,4.03401360544218,"532005000599"
"NUSA TENGGARA TIMUR","SABU TENGAH","EILODE",53,20,50,7,5320050007,0,0,245,0,1086,1086,1086,1086,"532005000799",121.942098050815,-10.4498541459474,"Area Kupan",NA,4.43265306122449,"532005000799"
"NUSA TENGGARA TIMUR","SABU TENGAH","EIMMADAKE",53,20,50,4,5320050004,0,0,232,0,1098,1098,1098,1098,"532005000499",121.927735773311,-10.4882548857495,"Area Kupan",NA,4.73275862068965,"532005000499"
