"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"MALUKU","SIRIMAU","KEL KARANG PANJANG",81,71,20,8,8171020008,0.84756097561,0.94618181818,1375,1301,6555,6555,6555,6555,"817102000899",128.19086068582,-3.69371159570561,"Ambon&Sera",NA,4.76727272727273,"817102000899"
"MALUKU","SIRIMAU","KEL BATU MEJA",81,71,20,9,8171020009,0.84435483871,0.96852189781,2192,2123,9863,9863,9863,9863,"817102000999",128.189817332444,-3.70029778011079,"Ambon&Sera",NA,4.49954379562044,"817102000999"
"MALUKU","SIRIMAU","KEL HONIPOPU",81,71,20,12,8171020012,0.9,0.94613887086,1541,1458,6279,6279,6279,6279,"817102001299",128.178768068204,-3.69564941152583,"Ambon&Sera",NA,4.07462686567164,"817102001299"
"MALUKU","SIRIMAU","URITETU",81,71,20,13,8171020013,0.57791411043,0.8252173913,1150,949,4663,4663,4663,4663,"817102001399",128.183621630925,-3.69370591924255,"Ambon&Sera",NA,4.05478260869565,"817102001399"
"MALUKU","SIRIMAU","KEL RIJALI",81,71,20,14,8171020014,0.69991401548,0.95413333333,1875,1789,6926,6926,6926,6926,"817102001499",128.185933750233,-3.69046462770165,"Ambon&Sera",NA,3.69386666666667,"817102001499"
"MALUKU","SIRIMAU","KEL AMANTELU",81,71,20,15,8171020015,0.93023255814,0.89165628892,1606,1432,7299,7299,7299,7299,"817102001599",128.194458067908,-3.6891263968557,"Ambon&Sera",NA,4.54483188044832,"817102001599"
"MALUKU","SIRIMAU","GALALA",81,71,20,19,8171020019,0.85835694051,0.99416909621,343,341,1452,1452,1452,1452,"817102001999",128.200359894929,-3.66564932886444,"Ambon&Sera",NA,4.2332361516035,"817102001999"
"MALUKU","NUSANIWE","KEL KUDAMATI",81,71,10,8,8171010008,0.84625424171,0.95638432364,3164,3026,15139,15139,15139,15139,"817101000899",128.171711173599,-3.70825040298366,"Ambon&Sera",NA,4.78476611883692,"817101000899"
"MALUKU","NUSANIWE","KEL URIMESING",81,71,10,11,8171010011,0.93313953488,0.92582781457,755,699,3042,3042,3042,3042,"817101001199",128.180699886281,-3.70402761841917,"Ambon&Sera",NA,4.02913907284768,"817101001199"
"MALUKU","NUSANIWE","KEL MANGGA DUA",81,71,10,10,8171010010,0.8986332574,0.96796338673,874,846,3482,3482,3482,3482,"817101001099",128.177871073777,-3.70505330425941,"Ambon&Sera",NA,3.98398169336384,"817101001099"
