"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"NUSA TENGGARA TIMUR","KODI","KAWANGO HARI",53,17,20,9,5317020009,0,0,348,0,2091,2091,2091,2091,"531702000999",118.999185773305,-9.54162587379952,"AreaSumba",NA,6.00862068965517,"531702000999"
"NUSA TENGGARA TIMUR","KODI","ATE DALO",53,17,20,7,5317020007,0,0.00128700129,777,1,4296,4296,4296,4296,"531702000799",118.94523235689,-9.54193948079405,"AreaSumba",NA,5.52895752895753,"531702000799"
"NUSA TENGGARA TIMUR","KODI BANGEDO","UMBU NGEDO",53,17,10,7,5317010007,0,0,423,0,2587,2587,2587,2587,"531701000799",119.020001548759,-9.62278947482755,"AreaSumba",NA,6.11583924349882,"531701000799"
"NUSA TENGGARA TIMUR","KODI BANGEDO","RADA LOKO",53,17,10,13,5317010013,0,0,296,0,1823,1823,1823,1823,"531701001399",119.036656978136,-9.57986106542981,"AreaSumba",NA,6.15878378378378,"531701001399"
"NUSA TENGGARA TIMUR","KODI BANGEDO","PANENGGO EDE",53,17,10,2,5317010002,0,0.00313971743,637,2,3952,3952,3952,3952,"531701000299",119.060806449417,-9.68276493601401,"AreaSumba",NA,6.20408163265306,"531701000299"
"NUSA TENGGARA TIMUR","KODI BANGEDO","WAI HA",53,17,10,5,5317010005,0.01808318264,0.03174603175,441,14,2591,2591,2591,2591,"531701000599",119.063048284448,-9.63115550816695,"AreaSumba",NA,5.87528344671202,"531701000599"
"NUSA TENGGARA TIMUR","KODI BANGEDO","WAI KARARA",53,17,10,3,5317010003,0,0.00176056338,568,1,3057,3057,3057,3057,"531701000399",119.075501726519,-9.65950760049538,"AreaSumba",NA,5.38204225352113,"531701000399"
"NUSA TENGGARA TIMUR","KODI BANGEDO","WAILANGIRA",53,17,10,4,5317010004,0,0.00427350427,468,2,2719,2719,2719,2719,"531701000499",119.104044645043,-9.63314371280668,"AreaSumba",NA,5.80982905982906,"531701000499"
"NUSA TENGGARA TIMUR","KODI BANGEDO","KAHALE",53,17,10,1,5317010001,0,0,631,0,3723,3723,3723,3723,"531701000199",119.120387679039,-9.69172105105732,"AreaSumba",NA,5.90015847860539,"531701000199"
"NUSA TENGGARA TIMUR","KODI BANGEDO","WAINYAPU",53,17,10,6,5317010006,0,0.00187969925,532,1,2665,2665,2665,2665,"531701000699",119.023039421509,-9.64569306289209,"AreaSumba",NA,5.0093984962406,"531701000699"
"NUSA TENGGARA TIMUR","KODI BANGEDO","MATA KAPORE",53,17,10,9,5317010009,0,0,328,0,1606,1606,1606,1606,"531701000999",119.090537111307,-9.58535102589312,"AreaSumba",NA,4.89634146341463,"531701000999"
"NUSA TENGGARA TIMUR","KODI UTARA","KALENA RONGO",53,17,30,7,5317030007,0,0.00178412132,1121,2,6684,6684,6684,6684,"531703000799",118.978426280925,-9.50813012987264,"AreaSumba",NA,5.96253345227476,"531703000799"
"NUSA TENGGARA TIMUR","KODI UTARA","NOHA",53,17,30,4,5317030004,0,0.03293413174,334,11,1762,1762,1762,1762,"531703000499",119.089625114281,-9.55415778774177,"AreaSumba",NA,5.27544910179641,"531703000499"
"NUSA TENGGARA TIMUR","KODI UTARA","HOHA WUNGO",53,17,30,1,5317030001,0.06007067138,0.09579439252,428,41,2637,2637,2637,2637,"531703000199",119.028667012507,-9.53694044871692,"AreaSumba",NA,6.16121495327103,"531703000199"
"NUSA TENGGARA TIMUR","LOURA","BONDO BOGHILA",53,17,80,12,5317080012,0,0.00507614213,394,2,1958,1958,1958,1958,"531708001299",119.36142034327,-9.41573358612459,"AreaSumba",NA,4.96954314720812,"531708001299"
"NUSA TENGGARA TIMUR","LOURA","KALENA WANO",53,17,80,4,5317080004,0.36723163842,0.55319148936,329,182,1974,1974,1974,1974,"531708000499",119.245484855238,-9.43585093866539,"AreaSumba",NA,6,"531708000499"
"NUSA TENGGARA TIMUR","WEWEWA BARAT","WATU LAMBARA",53,17,50,8,5317050008,0,0,273,0,1497,1497,1497,1497,"531705000899",119.264123700939,-9.53128354370621,"AreaSumba",NA,5.48351648351648,"531705000899"
"NUSA TENGGARA TIMUR","WEWEWA SELATAN","BONDO BELA",53,17,40,3,5317040003,0,0.0234741784,213,5,1088,1088,1088,1088,"531704000399",119.209863769605,-9.64839686158145,"AreaSumba",NA,5.10798122065728,"531704000399"
"NUSA TENGGARA TIMUR","WEWEWA SELATAN","DENDUKA",53,17,40,2,5317040002,0,0.00197238659,507,1,2664,2664,2664,2664,"531704000299",119.160656594821,-9.63492183220774,"AreaSumba",NA,5.25443786982249,"531704000299"
