"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"NUSA TENGGARA TIMUR","POCO RANAKA","LENANG",53,19,50,20,5319050020,0,0,393,0,2148,2148,2148,2148,"531905002099",120.546626163265,-8.52866909533752,"FloresBara",NA,5.46564885496183,"531905002099"
"NUSA TENGGARA TIMUR","LAMBALEDA","GOLO NIMBUNG",53,19,60,10,5319060010,0,0,212,0,964,964,964,964,"531906001099",120.647516095483,-8.44155234412427,"FloresBara",NA,4.54716981132075,"531906001099"
"NUSA TENGGARA TIMUR","ELAR","LEGUR LAI",53,19,30,20,5319030020,0,0,146,0,678,678,678,678,"531903002099",120.877491270708,-8.44990130459351,"FloresBara",NA,4.64383561643836,"531903002099"
"NUSA TENGGARA TIMUR","ELAR","GOLO LINUS",53,19,30,7,5319030007,0,0,142,0,761,761,761,761,"531903000799",120.807906642362,-8.55803079103197,"FloresBara",NA,5.35915492957746,"531903000799"
"NUSA TENGGARA TIMUR","ELAR","BITING",53,19,30,18,5319030018,0,0,201,0,966,966,966,966,"531903001899",120.77362273776,-8.49506049026997,"FloresBara",NA,4.80597014925373,"531903001899"
"NUSA TENGGARA TIMUR","AESESA","WAEKOKAK",53,18,60,17,5318060017,0,0.00387596899,258,1,1232,1232,1232,1232,"531806001799",121.250916136386,-8.49525875106928,"FloresBara",NA,4.77519379844961,"531806001799"
"NUSA TENGGARA TIMUR","BOAWAE","FOCOLODORAWE",53,18,40,21,5318040021,0,0,178,0,798,798,798,798,"531804002199",121.104120400524,-8.64714121895542,"FloresBara",NA,4.48314606741573,"531804002199"
"NUSA TENGGARA TIMUR","REOK","REO",53,13,140,12,5313140012,0.97288676236,0.97872340426,611,598,2765,2765,2765,2765,"531314001299",120.491156593822,-8.31181827757711,"FloresBara",NA,4.5253682487725,"531314001299"
"NUSA TENGGARA TIMUR","LANGKEREMBONG","LAWIR",53,13,110,10,5313110010,0.62268518519,0.98595505618,356,351,1765,1765,1765,1765,"531311001099",120.459398527617,-8.60983373172477,"FloresBara",NA,4.95786516853933,"531311001099"
"NUSA TENGGARA TIMUR","LANGKEREMBONG","MBAUMUKU",53,13,110,7,5313110007,0.73843930636,0.97611940298,670,654,3503,3503,3503,3503,"531311000799",120.468001389285,-8.60745215004474,"FloresBara",NA,5.22835820895522,"531311000799"
"NUSA TENGGARA TIMUR","GOLEWA","WERE II",53,12,30,3,5312030003,0,0.00546448087,183,1,825,825,825,825,"531203000399",121.086977664676,-8.88212560472089,"FloresBara",NA,4.50819672131148,"531203000399"
