"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"NUSA TENGGARA TIMUR","HEWOKLOANG","MUNERANA",53,10,51,21,5310051021,0.12536443149,0.28708133971,209,60,1072,1072,1072,1072,"531005102199",122.313837864817,-8.6730092701426,"FloresTimu",NA,5.12918660287081,"531005102199"
"NUSA TENGGARA TIMUR","DORENG","WOGALIRIT",53,10,31,10,5310031010,0,0,193,0,1250,1250,1250,1250,"531003101099",122.392672572562,-8.70138098550863,"FloresTimu",NA,6.47668393782383,"531003101099"
"NUSA TENGGARA TIMUR","DORENG","NEN BURA",53,10,31,12,5310031012,0,0,387,0,2108,2108,2108,2108,"531003101299",122.405367392483,-8.71642296990288,"FloresTimu",NA,5.44702842377261,"531003101299"
"NUSA TENGGARA TIMUR","KEWAPANTE","GELITING",53,10,50,23,5310050023,0.67509727627,0.94520547945,438,414,2217,2217,2217,2217,"531005002399",122.291132238872,-8.64468688373682,"FloresTimu",NA,5.06164383561644,"531005002399"
"NUSA TENGGARA TIMUR","KOTING","KOTING C",53,10,62,1,5310062001,0.48484848485,0.8,245,196,986,986,986,986,"531006200199",122.187584056046,-8.69871546596846,"FloresTimu",NA,4.02448979591837,"531006200199"
"NUSA TENGGARA TIMUR","NITA","LADOGAHAR",53,10,70,9,5310070009,0.82417582418,0.4678111588,233,109,1071,1071,1071,1071,"531007000999",122.137561063048,-8.62676882607857,"FloresTimu",NA,4.59656652360515,"531007000999"
"NUSA TENGGARA TIMUR","NELLE","NELLE BARAT",53,10,63,4,5310063004,0.61734693878,0.89714285714,175,157,685,685,685,685,"531006300499",122.212197236551,-8.69047927835947,"FloresTimu",NA,3.91428571428571,"531006300499"
"NUSA TENGGARA TIMUR","NELLE","NELLE LORANG",53,10,63,2,5310063002,0.40161725067,0.89160839161,286,255,1323,1323,1323,1323,"531006300299",122.217453830149,-8.67492241288217,"FloresTimu",NA,4.62587412587413,"531006300299"
"NUSA TENGGARA TIMUR","NELLE","NELLE URUNG",53,10,63,5,5310063005,0.45989304813,0.84246575342,292,246,1306,1306,1306,1306,"531006300599",122.213557305743,-8.65910106355877,"FloresTimu",NA,4.47260273972603,"531006300599"
"NUSA TENGGARA TIMUR","ALOK","KABOR",53,10,80,8,5310080008,0.83111702128,0.99088541667,768,761,3807,3807,3807,3807,"531008000899",122.21580114156,-8.62387885460139,"FloresTimu",NA,4.95703125,"531008000899"
