"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"MALUKU UTARA","OBI SELATAN","LOLEO",82,4,10,1,8204010001,0,0,129,0,589,589,589,589,"820401000199",127.588413213596,-1.84351356042011,"HalmaheraSou",NA,4.56589147286822,"820401000199"
"MALUKU UTARA","OBI SELATAN","MANO",82,4,10,2,8204010002,0,0.0023923445,418,1,2355,2355,2355,2355,"820401000299",127.624573468043,-1.83512840376355,"HalmaheraSou",NA,5.63397129186603,"820401000299"
"MALUKU UTARA","OBI UTARA","MADAPOLO TIMUR",82,4,23,6,8204023006,0.75625,0.84297520661,242,204,1278,1278,1278,1278,"820402300699",127.672125899038,-1.25390949650564,"HalmaheraSou",NA,5.28099173553719,"820402300699"
"MALUKU UTARA","OBI UTARA","MADAPOLO BARAT",82,4,23,4,8204023004,0.90032154341,0.83601286174,311,260,1548,1548,1548,1548,"820402300499",127.619847797139,-1.22929652720944,"HalmaheraSou",NA,4.97749196141479,"820402300499"
"MALUKU UTARA","OBI BARAT","TAPA",82,4,21,6,8204021006,0,0,115,0,524,524,524,524,"820402100699",127.426874332908,-1.19808027189349,"HalmaheraSou",NA,4.55652173913044,"820402100699"
"MALUKU UTARA","OBI UTARA","PASIR PUTIH",82,4,23,1,8204023001,0,0,149,0,1107,1107,1107,1107,"820402300199",127.417462094585,-1.1598703659713,"HalmaheraSou",NA,7.42953020134228,"820402300199"
"MALUKU UTARA","OBI SELATAN","SOLIGI",82,4,10,3,8204010003,0,0,433,0,NA,2258,2258,2258,"820401000301",127.422793,-1.657685,"HalmaheraSou",13202,5.21478060046189,"820401000301"
"MALUKU UTARA","OBI SELATAN","WAYALOAR",82,4,10,4,8204010004,0,0.003263,613,2,NA,2996,2996,2996,"820401000401",127.607438,-1.72541,"HalmaheraSou",13930,4.88743882544861,"820401000401"
"MALUKU UTARA","OBI SELATAN","FLUK",82,4,10,5,8204010005,0,0.01,200,2,NA,968,968,968,"820401000501",127.75577,-1.686225,"HalmaheraSou",13934,4.84,"820401000501"
"MALUKU UTARA","OBI SELATAN","BOBO",82,4,10,6,8204010006,0,0,337,0,NA,1278,1730,1278,"820401000601",127.881854,-1.68406,"HalmaheraSou",13936,5.13353115727003,"820401000601"
"MALUKU UTARA","OBI SELATAN","BOBO",82,4,10,6,8204010006,0,0,337,0,NA,452,1730,452,"820401000602",127.878693,-1.686608,"HalmaheraSou",13935,5.13353115727003,"820401000602"
"MALUKU UTARA","OBI SELATAN","OCIMALOLEO",82,4,10,8,8204010008,0,0.028571,140,4,NA,639,639,639,"820401000801",127.680527,-1.701159,"HalmaheraSou",13931,4.56428571428571,"820401000801"
