"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"MALUKU UTARA","MOROTAI SELATAN","YAYASAN",82,7,10,4,8207010004,0.55140186916,0.8119266055,218,177,1021,1021,1021,1021,"820701000499",128.292282948667,2.04886262621075,"Morotai",NA,4.68348623853211,"820701000499"
"MALUKU UTARA","MOROTAI SELATAN","MUHAJIRIN",82,7,10,10,8207010010,1,0.81081081081,111,90,657,657,657,657,"820701001099",128.294828648271,2.05150273838445,"Morotai",NA,5.91891891891892,"820701001099"
"MALUKU UTARA","MOROTAI SELATAN","GOTALAMO",82,7,10,9,8207010009,1,0.74691358025,324,242,1814,1814,1814,1814,"820701000999",128.31229258494,2.0638009140111,"Morotai",NA,5.59876543209877,"820701000999"
"MALUKU UTARA","MOROTAI TIMUR","SAMBIKI BARU",82,7,20,2,8207020002,0.48,0.53293413174,167,89,756,756,756,756,"820702000299",128.517867648612,2.09723002871887,"Morotai",NA,4.52694610778443,"820702000299"
"MALUKU UTARA","MOROTAI SELATAN BARAT","CIO GERONG",82,7,30,11,8207030011,0,0,194,0,914,914,914,914,"820703001199",128.32531403256,2.4341460446499,"Morotai",NA,4.71134020618557,"820703001199"
"MALUKU UTARA","MOROTAI SELATAN","DARUBA",82,7,10,3,8207010003,0.93561368209,0.75897435897,390,296,2288,2288,2288,2288,"820701000399",128.296465124401,2.06844451599826,"Morotai",NA,5.86666666666667,"820701000399"
"MALUKU UTARA","MOROTAI SELATAN","JUANGA",82,7,10,1,8207010001,0.413793,0.621359,103,64,NA,534,534,534,"820701000101",128.28031,2.010878,"Morotai",14555,5.18446601941748,"820701000101"
"MALUKU UTARA","MOROTAI SELATAN","PANDANGA",82,7,10,2,8207010002,0.547085,0.807947,151,122,NA,730,730,730,"820701000201",128.289759,2.026984,"Morotai",14556,4.83443708609272,"820701000201"
"MALUKU UTARA","MOROTAI SELATAN","KOLORAI",82,7,10,5,8207010005,0,0,73,0,NA,370,370,370,"820701000501",128.211579,2.055217,"Morotai",14540,5.06849315068493,"820701000501"
"MALUKU UTARA","MOROTAI SELATAN","GALO GALO",82,7,10,6,8207010006,0,0.02381,84,2,NA,442,442,442,"820701000601",128.192752,2.125452,"Morotai",14542,5.26190476190476,"820701000601"
"MALUKU UTARA","MOROTAI SELATAN","PILOWO",82,7,10,7,8207010007,0.294964,0.336842,95,32,NA,494,494,494,"820701000701",128.253936,2.105727,"Morotai",14571,5.2,"820701000701"
"MALUKU UTARA","MOROTAI SELATAN","DARAME",82,7,10,8,8207010008,0.929293,0.608696,253,154,NA,1203,1203,1203,"820701000801",128.294974,2.048661,"Morotai",14562,4.75494071146245,"820701000801"
"MALUKU UTARA","MOROTAI SELATAN","WAWAMA",82,7,10,11,8207010011,0.650177,0.792035,226,179,NA,1145,1145,1145,"820701001101",128.302681,2.036414,"Morotai",14557,5.06637168141593,"820701001101"
"MALUKU UTARA","MOROTAI SELATAN","TOTODOKU",82,7,10,12,8207010012,0.6,0.633333,120,76,NA,617,617,617,"820701001201",128.362796,2.045362,"Morotai",14559,5.14166666666667,"820701001201"
"MALUKU UTARA","MOROTAI SELATAN","JOUBELA",82,7,10,13,8207010013,0.412903,0.574627,134,77,NA,704,704,704,"820701001301",128.359141,2.044491,"Morotai",14558,5.25373134328358,"820701001301"
"MALUKU UTARA","MOROTAI SELATAN","MANDIRI",82,7,10,14,8207010014,0.348485,0.672727,55,37,NA,287,287,287,"820701001401",128.368565,2.046555,"Morotai",14560,5.21818181818182,"820701001401"
"MALUKU UTARA","MOROTAI SELATAN","DEHEGILA",82,7,10,15,8207010015,0.317757,0.109589,292,32,NA,1438,1438,1438,"820701001501",128.309898,2.101079,"Morotai",14570,4.92465753424658,"820701001501"
"MALUKU UTARA","MOROTAI SELATAN","AHA",82,7,10,16,8207010016,0.482143,0.454545,44,20,NA,229,229,229,"820701001601",128.280689,2.125868,"Morotai",14572,5.20454545454545,"820701001601"
"MALUKU UTARA","MOROTAI SELATAN","MOMOJIU",82,7,10,17,8207010017,0.57971,0.606061,66,40,NA,303,303,303,"820701001701",128.378605,2.052417,"Morotai",14561,4.59090909090909,"820701001701"
"MALUKU UTARA","MOROTAI SELATAN","SABATAI BARU",82,7,10,18,8207010018,0.559783,0.797101,138,110,NA,591,627,591,"820701001801",128.399045,2.057461,"Morotai",14564,4.54347826086957,"820701001801"
