"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"MALUKU","AMBALAU","SELASI",81,9,50,2,8109050002,0.25263157895,0.65346534653,101,66,606,606,606,606,"810905000299",127.307331001764,-3.96241885335371,"Pulau Buru",NA,6,"810905000299"
"MALUKU","AMBALAU","LUMOY",81,9,50,4,8109050004,0.18618618619,0.64734299517,207,134,1209,1209,1209,1209,"810905000499",127.315723691621,-3.91191384953963,"Pulau Buru",NA,5.84057971014493,"810905000499"
"MALUKU","AMBALAU","SIWAR",81,9,50,1,8109050001,0.20553359684,0.5447761194,134,73,890,890,890,890,"810905000199",127.260971928231,-3.97575748248833,"Pulau Buru",NA,6.64179104477612,"810905000199"
"MALUKU","AMBALAU","ULIMA",81,9,50,6,8109050006,0.23364485981,0.65806451613,155,102,970,970,970,970,"810905000699",127.222766216077,-3.96623503108147,"Pulau Buru",NA,6.25806451612903,"810905000699"
"MALUKU","AMBALAU","MASAWOY",81,9,50,5,8109050005,0.6043956044,0.63865546219,119,76,750,750,750,750,"810905000599",127.261447874591,-3.92570806116456,"Pulau Buru",NA,6.30252100840336,"810905000599"
"MALUKU","AMBALAU","ELARA",81,9,50,3,8109050003,0.16744186047,0.65919282511,223,147,1452,1452,1452,1452,"810905000399",127.35370219922,-3.93752300940569,"Pulau Buru",NA,6.51121076233184,"810905000399"
"MALUKU","AMBALAU","KAMPUNG BARU",81,9,50,7,8109050007,0.1649122807,0.63087248322,149,94,969,969,969,969,"810905000799",127.190733053336,-4.00001962779352,"Pulau Buru",NA,6.50335570469799,"810905000799"
"MALUKU","WAISAMA","WAESILI",81,9,40,6,8109040006,0.31055900621,0.67322834646,254,171,1194,1194,1194,1194,"810904000699",127.17402387578,-3.63609818031909,"Pulau Buru",NA,4.7007874015748,"810904000699"
"MALUKU","WAISAMA","WAETAWA",81,9,40,7,8109040007,0.50738916256,0.6095890411,146,89,930,930,930,930,"810904000799",127.206256667048,-3.64212293336965,"Pulau Buru",NA,6.36986301369863,"810904000799"
"MALUKU","WAPLAU","WAILIHANG",81,4,22,3,8104022003,0.41777777778,0.68493150685,146,100,844,844,844,844,"810402200399",126.734876616772,-3.10311933045303,"Pulau Buru",NA,5.78082191780822,"810402200399"
