"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"MALUKU","ARU SELATAN","POPJETUR",81,5,10,6,8105010006,0.2012987013,0,85,0,394,394,394,394,"810501000699",134.196353988517,-6.72641919565186,"Pulau Dobo",NA,4.63529411764706,"810501000699"
"MALUKU","ARU SELATAN","FATURAL",81,5,10,9,8105010009,0,0,30,0,161,161,161,161,"810501000999",134.116014668673,-6.687470590501,"Pulau Dobo",NA,5.36666666666667,"810501000999"
"MALUKU","ARU SELATAN","GAIMAR",81,5,10,10,8105010010,0,0,26,0,125,125,125,125,"810501001099",134.221401051231,-6.63639276346428,"Pulau Dobo",NA,4.80769230769231,"810501001099"
"MALUKU","ARU SELATAN","DOKA BARAT",81,5,10,15,8105010015,0,0,76,0,389,389,389,389,"810501001599",134.312094587971,-6.55506624699908,"Pulau Dobo",NA,5.11842105263158,"810501001599"
"MALUKU","ARU SELATAN","DOKA TIMUR",81,5,10,16,8105010016,0,0.03333333333,60,2,254,254,254,254,"810501001699",134.33436530277,-6.62874167202576,"Pulau Dobo",NA,4.23333333333333,"810501001699"
"MALUKU","ARU SELATAN","MARAFENFEN",81,5,10,18,8105010018,0.75384615385,0,65,0,314,314,314,314,"810501001899",134.197529226148,-6.57546565359629,"Pulau Dobo",NA,4.83076923076923,"810501001899"
"MALUKU","ARU SELATAN TIMUR","MEROR",81,5,11,3,8105011003,0,0,29,0,114,114,114,114,"810501100399",134.323959336431,-6.8380178036051,"Pulau Dobo",NA,3.93103448275862,"810501100399"
"MALUKU","ARU SELATAN TIMUR","JORANG",81,5,11,8,8105011008,0,0,84,0,421,421,421,421,"810501100899",134.407223569536,-6.67320883263803,"Pulau Dobo",NA,5.01190476190476,"810501100899"
"MALUKU","ARU SELATAN TIMUR","JURING",81,5,11,10,8105011010,0,0,94,0,540,540,540,540,"810501101099",134.296674985787,-6.37927887637344,"Pulau Dobo",NA,5.74468085106383,"810501101099"
"MALUKU","ARU SELATAN TIMUR","ERERSIN",81,5,11,11,8105011011,0,0,47,0,282,282,282,282,"810501101199",134.387664515618,-6.46767923562579,"Pulau Dobo",NA,6,"810501101199"
"MALUKU","ARU TENGAH","KOBASELTIMUR",81,5,20,8,8105020008,0,0,42,0,235,235,235,235,"810502000899",134.609099150922,-6.48416145113662,"Pulau Dobo",NA,5.59523809523809,"810502000899"
"MALUKU","ARU TENGAH","FATLABATA",81,5,20,10,8105020010,0,0,69,0,306,306,306,306,"810502001099",134.508930348363,-6.47067792994997,"Pulau Dobo",NA,4.43478260869565,"810502001099"
"MALUKU","ARU TENGAH","MANJAU",81,5,20,12,8105020012,0,0,40,0,213,213,213,213,"810502001299",134.487806605961,-6.31977204405639,"Pulau Dobo",NA,5.325,"810502001299"
"MALUKU","ARU TENGAH","LORANG",81,5,20,13,8105020013,0,0,53,0,214,214,214,214,"810502001399",134.444766158499,-6.36328050725021,"Pulau Dobo",NA,4.0377358490566,"810502001399"
"MALUKU","ARU TENGAH","KWARBOLA",81,5,20,21,8105020021,0,0,37,0,181,181,181,181,"810502002199",134.574194926368,-6.33057427678384,"Pulau Dobo",NA,4.89189189189189,"810502002199"
"MALUKU","ARU TENGAH","ALGADANG",81,5,20,32,8105020032,0,0,70,0,388,388,388,388,"810502003299",134.549403102309,-6.17649777126241,"Pulau Dobo",NA,5.54285714285714,"810502003299"
"MALUKU","ARU TENGAH","GULILI",81,5,20,34,8105020034,0,0,36,0,246,246,246,246,"810502003499",134.331322740902,-6.0342557331853,"Pulau Dobo",NA,6.83333333333333,"810502003499"
"MALUKU","ARU TENGAH","JIRLAY",81,5,20,35,8105020035,0,0,71,0,372,372,372,372,"810502003599",134.398706610122,-6.05030526989621,"Pulau Dobo",NA,5.23943661971831,"810502003599"
"MALUKU","ARU TENGAH","WAKUA",81,5,20,39,8105020039,0,0,197,0,1174,1174,1174,1174,"810502003999",134.53947591449,-5.94615881716361,"Pulau Dobo",NA,5.95939086294416,"810502003999"
"MALUKU","ARU TENGAH","TANAH MIRING",81,5,20,41,8105020041,0,0,65,0,341,341,341,341,"810502004199",134.336529846846,-6.03972999801354,"Pulau Dobo",NA,5.24615384615385,"810502004199"
"MALUKU","ARU TENGAH TIMUR","PONOM",81,5,21,1,8105021001,0,0,35,0,185,185,185,185,"810502100199",134.623219967616,-6.34553919646629,"Pulau Dobo",NA,5.28571428571429,"810502100199"
"MALUKU","ARU TENGAH TIMUR","WAILAY",81,5,21,2,8105021002,0,0,39,0,230,230,230,230,"810502100299",134.613129452368,-6.30121067899875,"Pulau Dobo",NA,5.8974358974359,"810502100299"
"MALUKU","ARU TENGAH TIMUR","KAIWABAR",81,5,21,3,8105021003,0,0,31,0,161,161,161,161,"810502100399",134.664246755108,-6.31189255337522,"Pulau Dobo",NA,5.19354838709677,"810502100399"
"MALUKU","ARU TENGAH TIMUR","BASADA",81,5,21,4,8105021004,0,0,31,0,188,188,188,188,"810502100499",134.678107156737,-6.27839333073366,"Pulau Dobo",NA,6.06451612903226,"810502100499"
"MALUKU","ARU TENGAH TIMUR","KOBROR",81,5,21,5,8105021005,0,0,57,0,283,283,283,283,"810502100599",134.681211088219,-6.24247567005045,"Pulau Dobo",NA,4.96491228070175,"810502100599"
"MALUKU","ARU TENGAH TIMUR","WARJUKUR",81,5,21,6,8105021006,0,0,70,0,430,430,430,430,"810502100699",134.710873985305,-6.21724361787647,"Pulau Dobo",NA,6.14285714285714,"810502100699"
"MALUKU","ARU TENGAH TIMUR","LOLA",81,5,21,7,8105021007,0,0,30,0,151,151,151,151,"810502100799",134.862591241342,-6.20950625368614,"Pulau Dobo",NA,5.03333333333333,"810502100799"
"MALUKU","ARU TENGAH TIMUR","MARIRI",81,5,21,8,8105021008,0,0,60,0,275,275,275,275,"810502100899",134.87543465167,-6.16449136186238,"Pulau Dobo",NA,4.58333333333333,"810502100899"
"MALUKU","ARU TENGAH TIMUR","WARLOY",81,5,21,9,8105021009,0,0,30,0,146,146,146,146,"810502100999",134.679155950677,-6.17074757243865,"Pulau Dobo",NA,4.86666666666667,"810502100999"
"MALUKU","ARU TENGAH TIMUR","KOIJABI",81,5,21,10,8105021010,0,0,178,0,1038,1038,1038,1038,"810502101099",134.726016334665,-6.13789781820931,"Pulau Dobo",NA,5.8314606741573,"810502101099"
"MALUKU","ARU TENGAH TIMUR","BALATAN",81,5,21,11,8105021011,0,0,52,0,236,236,236,236,"810502101199",134.665830740433,-6.07733390881369,"Pulau Dobo",NA,4.53846153846154,"810502101199"
"MALUKU","ARU TENGAH TIMUR","DOSINAMALAU",81,5,21,12,8105021012,0,0,123,0,716,716,716,716,"810502101299",134.560592664402,-6.02344581043321,"Pulau Dobo",NA,5.82113821138211,"810502101299"
"MALUKU","ARU TENGAH TIMUR","KARAWAI",81,5,21,13,8105021013,0,0,58,0,276,276,276,276,"810502101399",134.698056743382,-5.90105893667682,"Pulau Dobo",NA,4.75862068965517,"810502101399"
"MALUKU","ARU TENGAH SELATAN","APARA",81,5,22,1,8105022001,0,0,172,0,1005,1005,1005,1005,"810502200199",134.659648889391,-6.69952434518939,"Pulau Dobo",NA,5.84302325581395,"810502200199"
"MALUKU","ARU TENGAH SELATAN","LONGGAR",81,5,22,2,8105022002,0,0,213,0,1315,1315,1315,1315,"810502200299",134.613783578341,-6.88133766140633,"Pulau Dobo",NA,6.17370892018779,"810502200299"
"MALUKU","ARU TENGAH SELATAN","MESIANG",81,5,22,4,8105022004,0,0,227,0,1142,1142,1142,1142,"810502200499",134.710386940353,-6.63925107297347,"Pulau Dobo",NA,5.03083700440529,"810502200499"
"MALUKU","ARU TENGAH SELATAN","GOMO GOMO",81,5,22,5,8105022005,0,0,75,0,383,383,383,383,"810502200599",134.775069050847,-6.62224675421133,"Pulau Dobo",NA,5.10666666666667,"810502200599"
"MALUKU","PULAU-PULAU ARU","KOBRAUR",81,5,30,74,8105030074,0,0,34,0,153,153,153,153,"810503007499",134.354917541441,-5.947847881728,"Pulau Dobo",NA,4.5,"810503007499"
"MALUKU","PULAU-PULAU ARU","JABULENGA",81,5,30,90,8105030090,0,0,65,0,322,322,322,322,"810503009099",134.37426778109,-5.75085194266489,"Pulau Dobo",NA,4.95384615384615,"810503009099"
"MALUKU","PULAU-PULAU ARU","TUNGU",81,5,30,91,8105030091,0,0,37,0,224,224,224,224,"810503009199",134.391488307573,-5.82172947649837,"Pulau Dobo",NA,6.05405405405405,"810503009199"
"MALUKU","PULAU-PULAU ARU","GORAR",81,5,30,92,8105030092,0,0,56,0,267,267,267,267,"810503009299",134.394909261208,-5.86165163307317,"Pulau Dobo",NA,4.76785714285714,"810503009299"
"MALUKU","PULAU-PULAU ARU","KARANGGULI",81,5,30,93,8105030093,0,0,44,0,282,282,282,282,"810503009399",134.297721439072,-5.74092047167314,"Pulau Dobo",NA,6.40909090909091,"810503009399"
"MALUKU","PULAU-PULAU ARU","DURJELA",81,5,30,94,8105030094,0.45454545455,0.52727272727,110,58,522,522,522,522,"810503009499",134.216131171152,-5.81031333870775,"Pulau Dobo",NA,4.74545454545455,"810503009499"
"MALUKU","PULAU-PULAU ARU","WANGEL",81,5,30,95,8105030095,0.55162241888,0.64174454829,321,206,1669,1669,1669,1669,"810503009599",134.200305799536,-5.76735587284932,"Pulau Dobo",NA,5.1993769470405,"810503009599"
