"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"MALUKU UTARA","SULA BESI TIMUR","WAILIA",82,3,22,1,8203022001,0,0,119,0,636,636,636,636,"820302200199",126.020068661938,-2.44346835619151,"Sanana&Dofa",NA,5.34453781512605,"820302200199"
"MALUKU UTARA","SULA BESI TIMUR","FATKAUYON",82,3,22,2,8203022002,0,0,101,0,503,503,503,503,"820302200299",126.054403984197,-2.44648066465115,"Sanana&Dofa",NA,4.98019801980198,"820302200299"
"MALUKU UTARA","SULA BESI BARAT","KABAU PANTAI",82,3,10,8,8203010008,0,0,183,0,1023,1023,1023,1023,"820301000899",125.912981766268,-2.21999430974028,"Sanana&Dofa",NA,5.59016393442623,"820301000899"
"MALUKU UTARA","MANGOLI BARAT","PAS IPA",82,3,40,1,8203040001,0,0.02749140893,291,8,1306,1306,1306,1306,"820304000199",125.381017712,-1.88585242982916,"Sanana&Dofa",NA,4.48797250859107,"820304000199"
"MALUKU UTARA","MANGOLI SELATAN","KAPORO",82,3,42,5,8203042005,0,0.00793650794,126,1,678,678,678,678,"820304200599",125.727818303759,-1.89518287208911,"Sanana&Dofa",NA,5.38095238095238,"820304200599"
"MALUKU UTARA","MANGOLI UTARA","PASTABULU",82,3,41,3,8203041003,0,0,253,0,1078,1078,1078,1078,"820304100399",125.531439320595,-1.77007630403194,"Sanana&Dofa",NA,4.26086956521739,"820304100399"
"MALUKU UTARA","MANGOLI TENGAH","MANGOLI",82,3,31,5,8203031005,0.28789161727,0.91780821918,438,402,2362,2362,2362,2362,"820303100599",125.990841958311,-1.84356228627148,"Sanana&Dofa",NA,5.39269406392694,"820303100599"
"MALUKU UTARA","TALIABU BARAT","PANCORAN",82,3,60,23,8203060023,0,0,188,0,676,676,676,676,"820306002399",124.388481194409,-2.05050282247094,"Sanana&Dofa",NA,3.59574468085106,"820306002399"
"MALUKU UTARA","TALIABU TIMUR SELATAN","WAIKOKA",82,3,51,9,8203051009,0,0,41,0,207,207,207,207,"820305100999",125.282692827518,-1.85881470974701,"Sanana&Dofa",NA,5.04878048780488,"820305100999"
"MALUKU UTARA","SULA BESI TENGAH","WAI BOGA",82,3,21,5,8203021005,0.81553398058,0.83445190157,447,373,2234,2234,2234,2234,"820302100599",125.944921169805,-2.18383921162344,"Sanana&Dofa",NA,4.99776286353468,"820302100599"
"MALUKU UTARA","SANANA","PASTINA",82,3,20,17,8203020017,0.9068627451,0.77707006369,157,122,860,860,860,860,"820302001799",125.941536504086,-2.11509782528391,"Sanana&Dofa",NA,5.47770700636943,"820302001799"
