"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"MALUKU","TANIMBAR SELATAN","LERMATANG",81,1,40,1,8101040001,0,0,171,0,1065,1065,1065,1065,"810104000199",131.223748377454,-7.9565989643532,"Saumlaki",NA,6.2280701754386,"810104000199"
"MALUKU","TANIMBAR SELATAN","SIFNANA",81,1,40,11,8101040011,0.63636363636,0.71786310517,599,430,2864,2864,2864,2864,"810104001199",131.317739178804,-7.9533824992401,"Saumlaki",NA,4.78130217028381,"810104001199"
"MALUKU","TANIMBAR SELATAN","KABIARAT RAYA",81,1,40,13,8101040013,0.4972972973,0.63763066202,287,183,1632,1632,1632,1632,"810104001399",131.268520496567,-7.90883328489647,"Saumlaki",NA,5.68641114982578,"810104001399"
"MALUKU","WER TAMRIAN","TUMBUR",81,1,41,1,8101041001,0.73426573427,0.66494845361,194,129,1106,1106,1106,1106,"810104100199",131.301751312179,-7.8376917070702,"Saumlaki",NA,5.70103092783505,"810104100199"
"MALUKU","WER TAMRIAN","ARUI BAB",81,1,41,8,8101041008,0,0.02702702703,296,8,1717,1717,1717,1717,"810104100899",131.431697720034,-7.68351853984924,"Saumlaki",NA,5.80067567567568,"810104100899"
"MALUKU","WER TAMRIAN","ARUI DAS",81,1,41,9,8101041009,0,0.01234567901,162,2,878,878,878,878,"810104100999",131.45145461642,-7.66654945043591,"Saumlaki",NA,5.41975308641975,"810104100999"
"MALUKU","WER MAKTIAN","WERATAN",81,1,42,6,8101042006,0.79945054945,0.80357142857,280,225,1660,1660,1660,1660,"810104200699",131.08661500299,-7.65777938005419,"Saumlaki",NA,5.92857142857143,"810104200699"
"MALUKU","WER MAKTIAN","THEMIN",81,1,42,7,8101042007,0.8,0.85245901639,122,104,721,721,721,721,"810104200799",131.077832731413,-7.69123629676922,"Saumlaki",NA,5.90983606557377,"810104200799"
"MALUKU","WER MAKTIAN","WELUTU",81,1,42,8,8101042008,0.94413407821,0.904,125,113,672,672,672,672,"810104200899",131.04686646462,-7.68449736959571,"Saumlaki",NA,5.376,"810104200899"
"MALUKU","WER MAKTIAN","KAMATUBUN",81,1,42,10,8101042010,0.89940828402,0.61538461539,377,232,2382,2382,2382,2382,"810104201099",131.001154607181,-7.70790806748355,"Saumlaki",NA,6.3183023872679,"810104201099"
"MALUKU","SELARU","KANDAR",81,1,43,4,8101043004,0,0,301,0,1573,1573,1573,1573,"810104300499",131.004182639167,-8.18753113070098,"Saumlaki",NA,5.22591362126246,"810104300499"
"MALUKU","TANIMBAR UTARA","RIDOOL",81,1,50,24,8101050024,0.70930232558,0.86829268293,410,356,2068,2068,2068,2068,"810105002499",131.720756073064,-7.14253278612595,"Saumlaki",NA,5.04390243902439,"810105002499"
"MALUKU","TANIMBAR UTARA","LAMDESAR BARAT",81,1,50,28,8101050028,0.64189189189,0.54482758621,145,79,634,634,634,634,"810105002899",131.929285403659,-7.21001136981621,"Saumlaki",NA,4.37241379310345,"810105002899"
"MALUKU","YARU","ROMEAN",81,1,51,1,8101051001,0,0.00317460317,315,1,1664,1664,1664,1664,"810105100199",131.939596061397,-7.05653945214176,"Saumlaki",NA,5.28253968253968,"810105100199"
"MALUKU","YARU","AWEAR",81,1,51,3,8101051003,0,0,60,0,280,280,280,280,"810105100399",131.920830916713,-7.04735851416588,"Saumlaki",NA,4.66666666666667,"810105100399"
