"PROVINSI","KECAMATAN","DESA","PROVNO","KABKOTNO","KECNO","DESANO","IDSP2010","PLN_HHOLD","PCT_PLN","NUM_HHOLDS","NUM_PLN","population","CLUST_POP","DESA_POP","pop","Clust_Code","Longitude","Latitude","EI_SubArea","FID","ho_size","Name"
"MALUKU","PP. TERSELATAN","LEBELAU",81,8,20,9,8108020009,0.44854881267,0.44514106583,319,142,1852,1852,1852,1852,"810802000999",127.188348766236,-7.96442374577139,"Tual Barat",NA,5.80564263322884,"810802000999"
"MALUKU","PP. WETAR","USTUTUN",81,8,10,1,8108010001,0,0,186,0,972,972,972,972,"810801000199",125.737725533742,-7.99880380067096,"Tual Barat",NA,5.2258064516129,"810801000199"
"MALUKU","PP. WETAR","KARBUBU",81,8,10,2,8108010002,0,0,62,0,336,336,336,336,"810801000299",125.865901732479,-7.93107366667305,"Tual Barat",NA,5.41935483870968,"810801000299"
"MALUKU","PP. WETAR","ILMAMAU",81,8,10,4,8108010004,0,0,62,0,332,332,332,332,"810801000499",125.887670431313,-7.80726167992041,"Tual Barat",NA,5.35483870967742,"810801000499"
"MALUKU","PP. WETAR","TELEMAR",81,8,10,5,8108010005,0,0,34,0,157,157,157,157,"810801000599",125.935629074763,-7.86824154582546,"Tual Barat",NA,4.61764705882353,"810801000599"
"MALUKU","PP. WETAR","NAUMATANG",81,8,10,10,8108010010,0,0,35,0,177,177,177,177,"810801001099",126.091748273419,-7.72835073442097,"Tual Barat",NA,5.05714285714286,"810801001099"
"MALUKU","PP. WETAR","HIAY",81,8,10,12,8108010012,0,0,53,0,244,244,244,244,"810801001299",126.236123337385,-7.86655609031512,"Tual Barat",NA,4.60377358490566,"810801001299"
"MALUKU","PP. WETAR","ILPUTIH",81,8,10,14,8108010014,0,0,70,0,336,336,336,336,"810801001499",126.433426736249,-7.904131209357,"Tual Barat",NA,4.8,"810801001499"
"MALUKU","PP. WETAR","MAHUAN",81,8,10,15,8108010015,0,0,43,0,218,218,218,218,"810801001599",126.445842488232,-7.82208332215204,"Tual Barat",NA,5.06976744186047,"810801001599"
"MALUKU","PP. WETAR","UHAK",81,8,10,17,8108010017,0,0,45,0,234,234,234,234,"810801001799",126.459901190356,-7.65818921742081,"Tual Barat",NA,5.2,"810801001799"
