PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,JOIN_FIELD,population,PCT_PLN,NUM_HHOLDS,NUM_PLN,PLN_Cabang,EI_SubArea
MALUKU UTARA,OBA SELATAN,TAGALAYA,82,72,041,007,8272041007,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272041,POLY,8272041007,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       41.000000,OBA SELATAN,        7.000000,TAGALAYA,      212.000000,      230.000000,      109.000000,        0.000000,       13.000000,      0.00000000000,-214748364,357,      0.03947368421,76,3,Ternate,Halmahera
MALUKU UTARA,OBA,KOLI,82,72,040,010,8272040010,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272040,POLY,8272040010,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       40.000000,OBA,       10.000000,KOLI,      629.000000,      550.000000,      325.000000,      195.000000,        0.000000,      0.60000000000,-214748364,1170,      0.54092526690,281,152,Ternate,Halmahera
MALUKU UTARA,OBA TENGAH,AKETUBATU,82,72,051,008,8272051008,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272051,POLY,8272051008,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       51.000000,OBA TENGAH,        8.000000,AKETUBATU,      276.000000,      271.000000,      147.000000,      128.000000,       19.000000,      0.87074829932,-214748364,538,      0.88188976378,127,112,Ternate,Halmahera
MALUKU UTARA,OBA UTARA,BUKIT DURIAN,82,72,050,012,8272050012,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272050,POLY,8272050012,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       50.000000,OBA UTARA,       12.000000,BUKIT DURIAN,      773.000000,      656.000000,      329.000000,      317.000000,        7.000000,      0.96352583587,-214748364,1316,      0.87692307692,325,285,Ternate,Halmahera
MALUKU UTARA,TIDORE,GOTO,82,72,030,020,8272030020,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272030,POLY,8272030020,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       30.000000,TIDORE,       20.000000,GOTO,     1151.000000,     1155.000000,      518.000000,      428.000000,        7.000000,      0.82625482626,-214748364,2262,      0.96101364522,513,493,Ternate,Halmahera
MALUKU UTARA,TIDORE SELATAN,TOLOA,82,72,010,008,8272010008,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272010,POLY,8272010008,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       10.000000,TIDORE SELATAN,        8.000000,TOLOA,     1151.000000,     1112.000000,      568.000000,      452.000000,      116.000000,      0.79577464789,-214748364,2198,      0.94470046083,434,410,Ternate,Halmahera
MALUKU UTARA,TIDORE TIMUR,TOSA,82,72,031,004,8272031004,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272031,POLY,8272031004,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       31.000000,TIDORE TIMUR,        4.000000,TOSA,      386.000000,      361.000000,      176.000000,      150.000000,        0.000000,      0.85227272727,-214748364,692,      0.83088235294,136,113,Ternate,Halmahera
MALUKU UTARA,TIDORE UTARA,MAITARA,82,72,020,008,8272020008,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272020,POLY,8272020008,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       20.000000,TIDORE UTARA,        8.000000,MAITARA,      415.000000,      470.000000,      222.000000,        0.000000,      222.000000,      0.00000000000,-214748364,816,      0.10738255034,149,16,Ternate,Halmahera
MALUKU UTARA,TIDORE UTARA,RUM,82,72,020,007,8272020007,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272020,POLY,8272020007,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       20.000000,TIDORE UTARA,        7.000000,RUM,     1502.000000,     1273.000000,      625.000000,      620.000000,        5.000000,      0.99200000000,-214748364,2811,      0.77777777778,558,434,Ternate,Halmahera
MALUKU UTARA,TIDORE SELATAN,MAREGAM,82,72,010,002,8272010002,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272010,POLY,8272010002,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       10.000000,TIDORE SELATAN,        2.000000,MAREGAM,      237.000000,      260.000000,      123.000000,        0.000000,       94.000000,      0.00000000000,-214748364,404,      0.00000000000,93,0,Ternate,Halmahera
MALUKU UTARA,TIDORE SELATAN,MAREKOFO,82,72,010,001,8272010001,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272010,POLY,8272010001,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       10.000000,TIDORE SELATAN,        1.000000,MAREKOFO,      260.000000,      275.000000,      130.000000,        0.000000,       87.000000,      0.00000000000,-214748364,456,      0.00000000000,78,0,Ternate,Halmahera
MALUKU UTARA,TIDORE SELATAN,TONGOWAI,82,72,010,003,8272010003,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272010,POLY,8272010003,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       10.000000,TIDORE SELATAN,        3.000000,TONGOWAI,      657.000000,      693.000000,      330.000000,      265.000000,        0.000000,      0.80303030303,-214748364,1151,      0.89147286822,258,230,Ternate,Halmahera
MALUKU UTARA,TIDORE SELATAN,GURABATI,82,72,010,004,8272010004,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272010,POLY,8272010004,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       10.000000,TIDORE SELATAN,        4.000000,GURABATI,     1323.000000,     1306.000000,      640.000000,      498.000000,        0.000000,      0.77812500000,-214748364,2486,      0.96544715447,492,475,Ternate,Halmahera
MALUKU UTARA,TIDORE SELATAN,TOMALOU,82,72,010,005,8272010005,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272010,POLY,8272010005,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       10.000000,TIDORE SELATAN,        5.000000,TOMALOU,     1543.000000,     1671.000000,      737.000000,      580.000000,        0.000000,      0.78697421981,-214748364,2935,      0.94614003591,557,527,Ternate,Halmahera
MALUKU UTARA,TIDORE SELATAN,TUGUIHA,82,72,010,006,8272010006,TIDORE KEPULAUAN,BADAN PUSAT STATISTIK,8272010,POLY,8272010006,       82.000000,MALUKU UTARA,       72.000000,TIDORE KEPULAUAN,       10.000000,TIDORE SELATAN,        6.000000,TUGUIHA,      700.000000,      715.000000,      309.000000,      235.000000,       74.000000,      0.76051779935,-214748364,1204,      0.87449392713,247,216,Ternate,Halmahera
