PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,IDSP,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,JOIN_FIELD,population,PCT_PLN,NUM_HHOLDS,NUM_PLN,PLN_Cabang,EI_SubArea
MALUKU,TAYANDO TAM,TAYANDO LANGGIAR,81,72,020,001,8172020001,TUAL,BADAN PUSAT STATISTIK,8172020,POLY,0,8172020001,       81.000000,MALUKU,       72.000000,TUAL,       20.000000,TAYANDO TAM,        1.000000,TAYANDO LANGGIAR,      337.000000,      354.000000,      160.000000,        0.000000,       25.000000,      0.00000000000,-214748364,      629.000000,      0.00000000000,124,0,Cabang Tual,Tual
MALUKU,TAYANDO TAM,TAYANDO YAMRU,81,72,020,003,8172020003,TUAL,BADAN PUSAT STATISTIK,8172020,POLY,0,8172020003,       81.000000,MALUKU,       72.000000,TUAL,       20.000000,TAYANDO TAM,        3.000000,TAYANDO YAMRU,      235.000000,      224.000000,       95.000000,        0.000000,       12.000000,      0.00000000000,-214748364,      418.000000,      0.00000000000,85,0,Cabang Tual,Tual
MALUKU,TAYANDO TAM,TAM NGURHIR,81,72,020,005,8172020005,TUAL,BADAN PUSAT STATISTIK,8172020,POLY,0,8172020005,       81.000000,MALUKU,       72.000000,TUAL,       20.000000,TAYANDO TAM,        5.000000,TAM NGURHIR,      622.000000,      698.000000,      375.000000,        0.000000,       45.000000,      0.00000000000,-214748364,     1201.000000,      0.00000000000,214,0,Cabang Tual,Tual
MALUKU,PP. KUR,FINUALEN,81,72,010,002,8172010002,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010002,       81.000000,MALUKU,       72.000000,TUAL,       10.000000,PP. KUR,        2.000000,FINUALEN,      154.000000,      182.000000,       80.000000,       64.000000,        3.000000,      0.80000000000,-214748364,      306.000000,      0.56923076923,65,37,Cabang Tual,Tual
MALUKU,PP. KUR,HIRIT,81,72,010,009,8172010009,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010009,       81.000000,MALUKU,       72.000000,TUAL,       10.000000,PP. KUR,        9.000000,HIRIT,      160.000000,      145.000000,       70.000000,        0.000000,        2.000000,      0.00000000000,-214748364,      296.000000,      0.00000000000,57,0,Cabang Tual,Tual
MALUKU,PP. KUR,KANARA,81,72,010,005,8172010005,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010005,       81.000000,MALUKU,       72.000000,TUAL,       10.000000,PP. KUR,        5.000000,KANARA,      177.000000,      175.000000,       69.000000,       45.000000,        2.000000,      0.65217391304,-214748364,      344.000000,      0.41176470588,68,28,Cabang Tual,Tual
MALUKU,PP. KUR,LOKWIRIN,81,72,010,003,8172010003,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010003,       81.000000,MALUKU,       72.000000,TUAL,       10.000000,PP. KUR,        3.000000,LOKWIRIN,      240.000000,      255.000000,      118.000000,       88.000000,        2.000000,      0.74576271186,-214748364,      469.000000,      0.69306930693,101,70,Cabang Tual,Tual
MALUKU,PP. KUR,ROMOIN,81,72,010,008,8172010008,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010008,       81.000000,MALUKU,       72.000000,TUAL,       10.000000,PP. KUR,        8.000000,ROMOIN,      449.000000,      515.000000,      250.000000,      198.000000,        6.000000,      0.79200000000,-214748364,      939.000000,      0.50295857988,169,85,Cabang Tual,Tual
MALUKU,PP. KUR,TIFLEAN,81,72,010,011,8172010011,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010011,       81.000000,MALUKU,       72.000000,TUAL,       10.000000,PP. KUR,       11.000000,TIFLEAN,      137.000000,      149.000000,       75.000000,        0.000000,       75.000000,      0.00000000000,-214748364,      286.000000,      0.00000000000,55,0,Cabang Tual,Tual
MALUKU,PP. KUR,TUBYAL,81,72,010,001,8172010001,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010001,       81.000000,MALUKU,       72.000000,TUAL,       10.000000,PP. KUR,        1.000000,TUBYAL,      435.000000,      410.000000,      205.000000,      175.000000,        9.000000,      0.85365853659,-214748364,      833.000000,      0.68789808917,157,108,Cabang Tual,Tual
