FID,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,IDSP,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,NO_PLN,AREA_KM2,TOT_POP,TOT_HHOLD,POP_DEN,HHOLD_DEN,MID,PLN_GRID,X,Y,Longitude,Latitude
2,MALUKU,TAYANDO TAM,TAM NGURHIR,81,72,020,005,8172020005,TUAL,BADAN PUSAT STATISTIK,8172020,POLY,0,8172020005,81,MALUKU,72,TUAL,20,TAYANDO TAM,5,TAM NGURHIR,622,698,375,0,45,0,375,10.181487,1320,375,129.647079,36.831556,0.164774,0,14731464.4406,-620912.607733,132.334997,-5.568964
3,MALUKU,PP. KUR,FINUALEN,81,72,010,002,8172010002,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010002,81,MALUKU,72,TUAL,10,PP. KUR,2,FINUALEN,154,182,80,64,3,0.8,16,3.595983,336,80,93.437584,22.247044,0.212014,0,14695218.5429,-593537.605044,132.009394,-5.32416
4,MALUKU,PP. KUR,HIRIT,81,72,010,009,8172010009,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010009,81,MALUKU,72,TUAL,10,PP. KUR,9,HIRIT,160,145,70,0,2,0,70,1.985714,305,70,153.59714,35.251803,0.168426,0,14691653.914,-599960.70479,131.977373,-5.381608
5,MALUKU,PP. KUR,KANARA,81,72,010,005,8172010005,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010005,81,MALUKU,72,TUAL,10,PP. KUR,5,KANARA,177,175,69,45,2,0.652174,24,8.236296,352,69,42.737656,8.377552,0.345495,0,14693313.445,-595353.006169,131.99228,-5.340398
6,MALUKU,PP. KUR,LOKWIRIN,81,72,010,003,8172010003,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010003,81,MALUKU,72,TUAL,10,PP. KUR,3,LOKWIRIN,240,255,118,88,2,0.745763,30,3.11322,495,118,158.999364,37.902879,0.162429,0,14695569.6672,-592458.631069,132.012548,-5.314509
7,MALUKU,PP. KUR,ROMOIN,81,72,010,008,8172010008,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010008,81,MALUKU,72,TUAL,10,PP. KUR,8,ROMOIN,449,515,250,198,6,0.792,52,6.522295,964,250,147.800731,38.330065,0.161521,0,14691748.3667,-598724.091568,131.978221,-5.370548
8,MALUKU,PP. KUR,TIFLEAN,81,72,010,011,8172010011,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010011,81,MALUKU,72,TUAL,10,PP. KUR,11,TIFLEAN,137,149,75,0,75,0,75,1.778458,286,75,160.813474,42.171366,0.15399,0,14695086.7104,-622096.874176,132.00821,-5.579552
9,MALUKU,PP. KUR,MANGUR NIELA,81,72,010,010,8172010010,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010010,81,MALUKU,72,TUAL,10,PP. KUR,10,MANGUR NIELA,219,236,124,0,13,0,124,9.642708,455,124,47.185914,12.859458,0.278862,0,14695086.7104,-622096.874176,132.00821,-5.579552
10,MALUKU,PP. KUR,TUBYAL,81,72,010,001,8172010001,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010001,81,MALUKU,72,TUAL,10,PP. KUR,1,TUBYAL,435,410,205,175,9,0.853659,30,6.122086,845,205,138.024841,33.485317,0.172812,0,14694432.5581,-594324.88152,132.002334,-5.331202
11,MALUKU,PP. KUR,WARKAR,81,72,010,006,8172010006,TUAL,BADAN PUSAT STATISTIK,8172010,POLY,0,8172010006,81,MALUKU,72,TUAL,10,PP. KUR,6,WARKAR,185,199,84,75,2,0.892857,9,5.645307,384,84,68.021096,14.879615,0.259241,0,14692549.2018,-596581.96931,131.985415,-5.35139
