FID,KODE_UNSUR,PELAKSANA,TOPONIM,UPDATED,F_AREA,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,TOT_POP,PCT_PLN,NUM_HHOLDS,NUM_PLN,CLUSTAREA,CLUSTRATIO,CLUSTPOP,Sum_CLUSTA,Longitude,Latitude,X,Y
0,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,180045.7567,MALUKU UTARA,SULA BESI BARAT,WAI INA,82,3,10,4,8203010004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,581,568,218,0,23,0,1156,0.004695,213,1,0.180046,1,1156,0.180046,125.919245,-2.263234,824728,9749516
1,50102,"EKSA ANUGRAH MANDIRI, PT.",KABAU,20070813,122372.92,MALUKU UTARA,SULA BESI BARAT,KABAU DARAT,82,3,10,5,8203010005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,204,195,84,0,12,0,398,0,81,0,0.122373,0.789827,314,0.154936,125.88403,-2.185961,820824,9758076
2,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,32563.37165,MALUKU UTARA,SULA BESI BARAT,KABAU DARAT,82,3,10,5,8203010005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,204,195,84,0,12,0,398,0,81,0,0.032563,0.210173,84,0.154936,125.89339,-2.18147,821868,9758571
3,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,84370.2196,MALUKU UTARA,SULA BESI BARAT,ONA,82,3,10,6,8203010006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,559,527,216,0,63,0,1089,0.004673,214,1,0.08437,1,1089,0.08437,125.886326,-2.155465,821086,9761451
4,50102,"EKSA ANUGRAH MANDIRI, PT.",KABAU,20070813,122372.92,MALUKU UTARA,SULA BESI BARAT,KABAU PANTAI,82,3,10,8,8203010008,KEPULAUAN SULA,BADAN PUSAT STATISTIK,536,485,231,0,23,0,1023,0,183,0,0.122373,1,1023,0.122373,125.880975,-2.193113,820483,9757285
5,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,41527.0903,MALUKU UTARA,SULA BESI BARAT,NAHI,82,3,10,9,8203010009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,379,365,217,0,47,0,735,0,163,0,0.041527,1,735,0.041527,125.865308,-2.107086,818756,9766809
6,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,13029.56945,MALUKU UTARA,SULA BESI BARAT,PARATINA,82,3,10,10,8203010010,KEPULAUAN SULA,BADAN PUSAT STATISTIK,147,163,79,0,10,0,306,0,59,0,0.01303,1,306,0.01303,125.858721,-2.084364,818027,9769325
7,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,50721.8093,MALUKU UTARA,SULABESI SELATAN,WAI GAI,82,3,11,1,8203011001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,701,719,329,0,60,0,1419,0.013158,228,3,0.050722,1,1419,0.050722,125.972846,-2.401175,830664,9734237
8,50102,"EKSA ANUGRAH MANDIRI, PT.",FUATA,20070813,129570.0667,MALUKU UTARA,SULABESI SELATAN,FUATA,82,3,11,2,8203011002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,446,463,174,0,18,0,907,0.006849,146,1,0.12957,1,907,0.12957,125.960659,-2.361082,829316,9738677
9,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,71630.95795,MALUKU UTARA,SULABESI SELATAN,SEKOM,82,3,11,3,8203011003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,422,423,220,0,39,0,842,0.0375,160,6,0.071631,0.889801,749,0.080502,125.935381,-2.289962,826519,9746555
10,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,8871.23015,MALUKU UTARA,SULABESI SELATAN,SEKOM,82,3,11,3,8203011003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,422,423,220,0,39,0,842,0.0375,160,6,0.008871,0.110199,93,0.080502,125.932552,-2.28755,826204,9746822
11,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,78471.3343,MALUKU UTARA,SULABESI SELATAN,WAINIB,82,3,11,4,8203011004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,303,317,155,0,25,0,622,0,121,0,0.078471,1,622,0.078471,125.959436,-2.325511,829189,9742614
12,50102,"EKSA ANUGRAH MANDIRI, PT.",FUATA,20070813,129570.0667,MALUKU UTARA,SULABESI SELATAN,WAI TAMUA,82,3,11,5,8203011005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,256,263,135,0,10,0,508,0.012048,83,1,0.12957,1,508,0.12957,125.960481,-2.357481,829297,9739076
13,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,40377.28265,MALUKU UTARA,SANANA,WAILAU,82,3,20,15,8203020015,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1015,957,445,370,0,0.831461,1965,0.734417,369,271,0.040377,0.573843,1128,0.070363,125.957307,-2.141289,828993,9763005
14,50102,"EKSA ANUGRAH MANDIRI, PT.",LANTINA,20070813,29985.72086,MALUKU UTARA,SANANA,WAILAU,82,3,20,15,8203020015,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1015,957,445,370,0,0.831461,1965,0.734417,369,271,0.029986,0.426157,837,0.070363,125.958803,-2.132538,829161,9763973
15,50102,"EKSA ANUGRAH MANDIRI, PT.",LANTINA,20070813,29985.72086,MALUKU UTARA,SANANA,PASTINA,82,3,20,17,8203020017,KEPULAUAN SULA,BADAN PUSAT STATISTIK,420,441,204,185,17,0.906863,860,0.77707,157,122,0.029986,0.673125,579,0.044547,125.958394,-2.12945,829116,9764315
16,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,14561.2871,MALUKU UTARA,SANANA,PASTINA,82,3,20,17,8203020017,KEPULAUAN SULA,BADAN PUSAT STATISTIK,420,441,204,185,17,0.906863,860,0.77707,157,122,0.014561,0.326875,281,0.044547,125.96085,-2.111659,829393,9766283
17,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,23793.20982,MALUKU UTARA,SANANA,UMALOYA,82,3,20,18,8203020018,KEPULAUAN SULA,BADAN PUSAT STATISTIK,577,547,263,250,13,0.95057,1127,0.791262,206,163,0.023793,1,1127,0.023793,125.962094,-2.107754,829533,9766715
18,50102,"EKSA ANUGRAH MANDIRI, PT.",AUFAT,20070813,33670.02885,MALUKU UTARA,SANANA,WAI IPA,82,3,20,19,8203020019,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1053,1094,282,282,0,1,2145,0.739583,384,284,0.03367,0.298566,640,0.112772,125.965833,-2.093898,829952,9768248
19,50102,"EKSA ANUGRAH MANDIRI, PT.",AUFAT,20070813,79102.41465,MALUKU UTARA,SANANA,WAI IPA,82,3,20,19,8203020019,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1053,1094,282,282,0,1,2145,0.739583,384,284,0.079102,0.701434,1505,0.112772,125.968268,-2.08879,830224,9768813
20,50102,"EKSA ANUGRAH MANDIRI, PT.",AUFAT,20070813,79102.41465,MALUKU UTARA,SANANA,WAI HAMA,82,3,20,20,8203020020,KEPULAUAN SULA,BADAN PUSAT STATISTIK,938,932,360,272,60,0.755556,1865,0.813559,354,288,0.079102,0.547984,1022,0.144352,125.970322,-2.084338,830454,9769305
21,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,9371.7434,MALUKU UTARA,SANANA,WAI HAMA,82,3,20,20,8203020020,KEPULAUAN SULA,BADAN PUSAT STATISTIK,938,932,360,272,60,0.755556,1865,0.813559,354,288,0.009372,0.064923,121,0.144352,125.971106,-2.082326,830542,9769528
22,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,9208.62885,MALUKU UTARA,SANANA,WAI HAMA,82,3,20,20,8203020020,KEPULAUAN SULA,BADAN PUSAT STATISTIK,938,932,360,272,60,0.755556,1865,0.813559,354,288,0.009209,0.063793,119,0.144352,125.97191,-2.079256,830632,9769867
23,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,46668.9081,MALUKU UTARA,SANANA,WAI HAMA,82,3,20,20,8203020020,KEPULAUAN SULA,BADAN PUSAT STATISTIK,938,932,360,272,60,0.755556,1865,0.813559,354,288,0.046669,0.3233,603,0.144352,125.974231,-2.0762,830891,9770205
24,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,46668.9081,MALUKU UTARA,SANANA,FOGI,82,3,20,21,8203020021,KEPULAUAN SULA,BADAN PUSAT STATISTIK,2020,1834,662,540,108,0.81571,3856,0.771307,704,543,0.046669,0.045958,177,1.015473,125.976154,-2.073948,831105,9770454
25,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,14856.39325,MALUKU UTARA,SANANA,FOGI,82,3,20,21,8203020021,KEPULAUAN SULA,BADAN PUSAT STATISTIK,2020,1834,662,540,108,0.81571,3856,0.771307,704,543,0.014856,0.01463,56,1.015473,125.97682,-2.072015,831180,9770668
26,50102,"EKSA ANUGRAH MANDIRI, PT.",FOGI,20070813,953947.493,MALUKU UTARA,SANANA,FOGI,82,3,20,21,8203020021,KEPULAUAN SULA,BADAN PUSAT STATISTIK,2020,1834,662,540,108,0.81571,3856,0.771307,704,543,0.953947,0.939412,3622,1.015473,125.979527,-2.06964,831482,9770930
27,50102,"EKSA ANUGRAH MANDIRI, PT.",FOGI,20070813,953947.493,MALUKU UTARA,SANANA,FATCE,82,3,20,22,8203020022,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1697,1746,540,432,102,0.8,3427,0.805213,729,587,0.953947,1,3427,0.953947,125.981374,-2.0655,831689,9771388
28,50102,"EKSA ANUGRAH MANDIRI, PT.",FOGI,20070813,953947.493,MALUKU UTARA,SANANA,FALAHU,82,3,20,23,8203020023,KEPULAUAN SULA,BADAN PUSAT STATISTIK,738,816,588,474,110,0.806122,1555,0.853659,328,280,0.953947,1,1555,0.953947,125.981347,-2.061348,831686,9771847
29,50102,"EKSA ANUGRAH MANDIRI, PT.",FOGI,20070813,953947.493,MALUKU UTARA,SANANA,FAGUDU,82,3,20,24,8203020024,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1443,1368,568,495,70,0.871479,2812,0.841818,550,463,0.953947,1,2812,0.953947,125.979462,-2.058148,831477,9772202
30,50102,"EKSA ANUGRAH MANDIRI, PT.",FOGI,20070813,953947.493,MALUKU UTARA,SANANA,MANGON,82,3,20,25,8203020025,KEPULAUAN SULA,BADAN PUSAT STATISTIK,2022,2044,1025,690,330,0.673171,4058,0.811245,747,606,0.953947,1,4058,0.953947,125.980891,-2.054564,831637,9772598
31,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,73873.93345,MALUKU UTARA,SANANA,WAIBAU,82,3,20,26,8203020026,KEPULAUAN SULA,BADAN PUSAT STATISTIK,764,765,350,240,107,0.685714,1513,0.783688,282,221,0.073874,1,1513,0.073874,125.968802,-2.054053,830291,9772658
