FID,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,PLN_HHOLD,DESA_POP,PCT_PLN,NUM_HHOLDS,NUM_PLN,Longitude,Latitude,CLUST_POP,Clust_Code
6438,NUSA TENGGARA TIMUR,LAMBOYA,PATIALA BAWA,53,1,21,6,5301021006,0,1971,0.008086,371,3,119.331419,-9.750884,778,530102100601
6439,NUSA TENGGARA TIMUR,LAMBOYA,PATIALA BAWA,53,1,21,6,5301021006,0,1971,0.008086,371,3,119.325753,-9.757925,589,530102100602
6437,NUSA TENGGARA TIMUR,LAMBOYA,PATIALA BAWA,53,1,21,6,5301021006,0,1971,0.008086,371,3,119.330156,-9.756599,478,530102100603
6440,NUSA TENGGARA TIMUR,LAMBOYA,PATIALA BAWA,53,1,21,6,5301021006,0,1971,0.008086,371,3,119.314996,-9.761441,126,530102100604
6441,NUSA TENGGARA TIMUR,LAMBOYA,WATU KARERE,53,1,21,8,5301021008,0,1652,0,325,0,119.365914,-9.763428,795,530102100801
6444,NUSA TENGGARA TIMUR,LAMBOYA,WATU KARERE,53,1,21,8,5301021008,0,1652,0,325,0,119.375704,-9.763963,615,530102100802
6442,NUSA TENGGARA TIMUR,LAMBOYA,WATU KARERE,53,1,21,8,5301021008,0,1652,0,325,0,119.365317,-9.751395,243,530102100803
6443,NUSA TENGGARA TIMUR,WANOKAKA,RUA,53,1,22,2,5301022002,0,1359,0,282,0,119.406003,-9.769961,1359,530102200201
6624,NUSA TENGGARA TIMUR,LOLI,SOBA WAWI,53,1,50,3,5301050003,0.39886,6516,0.471254,1061,500,119.39359,-9.623049,3586,530105000301
6626,NUSA TENGGARA TIMUR,LOLI,SOBA WAWI,53,1,50,3,5301050003,0.39886,6516,0.471254,1061,500,119.401888,-9.618454,1895,530105000302
6622,NUSA TENGGARA TIMUR,LOLI,SOBA WAWI,53,1,50,3,5301050003,0.39886,6516,0.471254,1061,500,119.397898,-9.620523,705,530105000303
6603,NUSA TENGGARA TIMUR,LOLI,SOBA WAWI,53,1,50,3,5301050003,0.39886,6516,0.471254,1061,500,119.400574,-9.620137,330,530105000304
6599,NUSA TENGGARA TIMUR,LOLI,UBU PEDE,53,1,50,4,5301050004,0.188889,3056,0.232558,559,130,119.423829,-9.608012,1546,530105000401
6580,NUSA TENGGARA TIMUR,LOLI,UBU PEDE,53,1,50,4,5301050004,0.188889,3056,0.232558,559,130,119.42805,-9.604889,984,530105000402
6621,NUSA TENGGARA TIMUR,LOLI,UBU PEDE,53,1,50,4,5301050004,0.188889,3056,0.232558,559,130,119.417732,-9.619029,525,530105000403
6608,NUSA TENGGARA TIMUR,LOLI,BERA DOLU,53,1,50,5,5301050005,0.15,2619,0.086869,495,43,119.478209,-9.624851,1386,530105000501
6623,NUSA TENGGARA TIMUR,LOLI,BERA DOLU,53,1,50,5,5301050005,0.15,2619,0.086869,495,43,119.462049,-9.622577,1233,530105000502
6615,NUSA TENGGARA TIMUR,LOLI,DOKA KAKA,53,1,50,6,5301050006,0.121951,1661,0.203762,319,65,119.448108,-9.565275,882,530105000601
6607,NUSA TENGGARA TIMUR,LOLI,DOKA KAKA,53,1,50,6,5301050006,0.121951,1661,0.203762,319,65,119.436011,-9.572943,779,530105000602
6592,NUSA TENGGARA TIMUR,LOLI,TANA RARA,53,1,50,7,5301050007,0.140969,1809,0.261905,336,88,119.479683,-9.537613,851,530105000701
6619,NUSA TENGGARA TIMUR,LOLI,TANA RARA,53,1,50,7,5301050007,0.140969,1809,0.261905,336,88,119.472463,-9.542148,320,530105000702
6617,NUSA TENGGARA TIMUR,LOLI,TANA RARA,53,1,50,7,5301050007,0.140969,1809,0.261905,336,88,119.454654,-9.53565,232,530105000703
6588,NUSA TENGGARA TIMUR,LOLI,TANA RARA,53,1,50,7,5301050007,0.140969,1809,0.261905,336,88,119.478183,-9.539819,221,530105000704
6604,NUSA TENGGARA TIMUR,LOLI,TANA RARA,53,1,50,7,5301050007,0.140969,1809,0.261905,336,88,119.475292,-9.528331,185,530105000705
6582,NUSA TENGGARA TIMUR,LOLI,BALI LEDO,53,1,50,8,5301050008,0,1641,0,318,0,119.480695,-9.551049,1132,530105000801
6584,NUSA TENGGARA TIMUR,LOLI,BALI LEDO,53,1,50,8,5301050008,0,1641,0,318,0,119.478713,-9.552652,509,530105000802
6598,NUSA TENGGARA TIMUR,LOLI,DIRA TANA,53,1,50,11,5301050011,0.705441,3027,0,0,0,119.3827,-9.620346,2240,530105001101
6570,NUSA TENGGARA TIMUR,LOLI,DIRA TANA,53,1,50,11,5301050011,0.705441,3027,0,0,0,119.373393,-9.61465,370,530105001102
6568,NUSA TENGGARA TIMUR,LOLI,DIRA TANA,53,1,50,11,5301050011,0.705441,3027,0,0,0,119.371148,-9.610202,208,530105001103
6564,NUSA TENGGARA TIMUR,LOLI,DIRA TANA,53,1,50,11,5301050011,0.705441,3027,0,0,0,119.35659,-9.616942,205,530105001104
6606,NUSA TENGGARA TIMUR,LOLI,DIRA TANA,53,1,50,11,5301050011,0.705441,3027,0,0,0,119.375023,-9.61478,4,530105001105
6625,NUSA TENGGARA TIMUR,LOLI,UBU RAYA,53,1,50,12,5301050012,0,1444,0,0,0,119.415957,-9.584799,1444,530105001201
6600,NUSA TENGGARA TIMUR,LOLI,TEMA TANA,53,1,50,13,5301050013,0.341667,965,0,0,0,119.455328,-9.548573,965,530105001301
6620,NUSA TENGGARA TIMUR,KOTA WAIKABUBAK,KOMERDA,53,1,60,4,5301060004,0.89418,2560,0.992366,524,520,119.410197,-9.619584,2560,530106000401
6610,NUSA TENGGARA TIMUR,KOTA WAIKABUBAK,KAMPUNG BARU,53,1,60,5,5301060005,0.979716,2346,0.981481,432,424,119.416699,-9.62474,2091,530106000501
6613,NUSA TENGGARA TIMUR,KOTA WAIKABUBAK,KAMPUNG BARU,53,1,60,5,5301060005,0.979716,2346,0.981481,432,424,119.412415,-9.624962,255,530106000502
6593,NUSA TENGGARA TIMUR,KOTA WAIKABUBAK,SOBA RADE,53,1,60,11,5301060011,0.057566,2145,0.057592,382,22,119.449556,-9.61195,1095,530106001101
6597,NUSA TENGGARA TIMUR,KOTA WAIKABUBAK,SOBA RADE,53,1,60,11,5301060011,0.057566,2145,0.057592,382,22,119.463823,-9.615084,1050,530106001102
6611,NUSA TENGGARA TIMUR,KOTA WAIKABUBAK,PADA EWETA,53,1,60,12,5301060012,0.891156,1880,0.990385,312,309,119.39069,-9.623941,700,530106001201
6594,NUSA TENGGARA TIMUR,KOTA WAIKABUBAK,PADA EWETA,53,1,60,12,5301060012,0.891156,1880,0.990385,312,309,119.396574,-9.622787,548,530106001202
6589,NUSA TENGGARA TIMUR,KOTA WAIKABUBAK,PADA EWETA,53,1,60,12,5301060012,0.891156,1880,0.990385,312,309,119.400579,-9.623316,388,530106001203
6612,NUSA TENGGARA TIMUR,KOTA WAIKABUBAK,PADA EWETA,53,1,60,12,5301060012,0.891156,1880,0.990385,312,309,119.387785,-9.624596,104,530106001204
6609,NUSA TENGGARA TIMUR,KOTA WAIKABUBAK,PADA EWETA,53,1,60,12,5301060012,0.891156,1880,0.990385,312,309,119.403121,-9.62469,90,530106001205
6590,NUSA TENGGARA TIMUR,KOTA WAIKABUBAK,PADA EWETA,53,1,60,12,5301060012,0.891156,1880,0.990385,312,309,119.401092,-9.621392,49,530106001206
6830,NUSA TENGGARA TIMUR,TANA RIGHU,LOKO RY,53,1,72,1,5301072001,0.173554,2519,0.292276,479,140,119.392514,-9.428019,679,530107200101
6832,NUSA TENGGARA TIMUR,TANA RIGHU,LOKO RY,53,1,72,1,5301072001,0.173554,2519,0.292276,479,140,119.401921,-9.422793,520,530107200102
6842,NUSA TENGGARA TIMUR,TANA RIGHU,LOKO RY,53,1,72,1,5301072001,0.173554,2519,0.292276,479,140,119.40287,-9.419623,345,530107200103
6819,NUSA TENGGARA TIMUR,TANA RIGHU,LOKO RY,53,1,72,1,5301072001,0.173554,2519,0.292276,479,140,119.417422,-9.434313,317,530107200104
6821,NUSA TENGGARA TIMUR,TANA RIGHU,LOKO RY,53,1,72,1,5301072001,0.173554,2519,0.292276,479,140,119.397825,-9.419762,309,530107200105
6816,NUSA TENGGARA TIMUR,TANA RIGHU,LOKO RY,53,1,72,1,5301072001,0.173554,2519,0.292276,479,140,119.409889,-9.436834,177,530107200106
6822,NUSA TENGGARA TIMUR,TANA RIGHU,LOKO RY,53,1,72,1,5301072001,0.173554,2519,0.292276,479,140,119.399914,-9.419099,172,530107200107
6837,NUSA TENGGARA TIMUR,TANA RIGHU,LOLO WANO,53,1,72,2,5301072002,0,1713,0.006849,292,2,119.421803,-9.455283,1183,530107200201
6833,NUSA TENGGARA TIMUR,TANA RIGHU,LOLO WANO,53,1,72,2,5301072002,0,1713,0.006849,292,2,119.423402,-9.469797,396,530107200202
6827,NUSA TENGGARA TIMUR,TANA RIGHU,LOLO WANO,53,1,72,2,5301072002,0,1713,0.006849,292,2,119.424254,-9.466865,134,530107200203
6824,NUSA TENGGARA TIMUR,TANA RIGHU,NGADU PADA,53,1,72,3,5301072003,0.107246,1365,0.541502,253,137,119.396215,-9.46127,1232,530107200301
6841,NUSA TENGGARA TIMUR,TANA RIGHU,NGADU PADA,53,1,72,3,5301072003,0.107246,1365,0.541502,253,137,119.400649,-9.458789,100,530107200302
6828,NUSA TENGGARA TIMUR,TANA RIGHU,NGADU PADA,53,1,72,3,5301072003,0.107246,1365,0.541502,253,137,119.395267,-9.451842,34,530107200303
6839,NUSA TENGGARA TIMUR,TANA RIGHU,MALATA,53,1,72,4,5301072004,0.119545,2203,0.427861,402,172,119.384915,-9.450307,1313,530107200401
6815,NUSA TENGGARA TIMUR,TANA RIGHU,MALATA,53,1,72,4,5301072004,0.119545,2203,0.427861,402,172,119.379615,-9.440362,832,530107200402
6825,NUSA TENGGARA TIMUR,TANA RIGHU,MALATA,53,1,72,4,5301072004,0.119545,2203,0.427861,402,172,119.381371,-9.443352,58,530107200403
6823,NUSA TENGGARA TIMUR,TANA RIGHU,LINGU LANGO,53,1,72,5,5301072005,0,1217,0.004425,226,1,119.399944,-9.493744,548,530107200501
6831,NUSA TENGGARA TIMUR,TANA RIGHU,LINGU LANGO,53,1,72,5,5301072005,0,1217,0.004425,226,1,119.40238,-9.486751,299,530107200502
6813,NUSA TENGGARA TIMUR,TANA RIGHU,LINGU LANGO,53,1,72,5,5301072005,0,1217,0.004425,226,1,119.394756,-9.49959,286,530107200503
6578,NUSA TENGGARA TIMUR,TANA RIGHU,LINGU LANGO,53,1,72,5,5301072005,0,1217,0.004425,226,1,119.394616,-9.500183,84,530107200504
6829,NUSA TENGGARA TIMUR,TANA RIGHU,MANU KUKU,53,1,72,6,5301072006,0,991,0,167,0,119.425196,-9.490898,429,530107200601
6840,NUSA TENGGARA TIMUR,TANA RIGHU,MANU KUKU,53,1,72,6,5301072006,0,991,0,167,0,119.414271,-9.491739,221,530107200602
6817,NUSA TENGGARA TIMUR,TANA RIGHU,MANU KUKU,53,1,72,6,5301072006,0,991,0,167,0,119.423133,-9.48985,212,530107200603
6835,NUSA TENGGARA TIMUR,TANA RIGHU,MANU KUKU,53,1,72,6,5301072006,0,991,0,167,0,119.418547,-9.49169,129,530107200604
6579,NUSA TENGGARA TIMUR,TANA RIGHU,KAREKA NDUKU,53,1,72,8,5301072008,0,2200,0,390,0,119.429464,-9.525144,904,530107200801
6585,NUSA TENGGARA TIMUR,TANA RIGHU,KAREKA NDUKU,53,1,72,8,5301072008,0,2200,0,390,0,119.428744,-9.533388,776,530107200802
6581,NUSA TENGGARA TIMUR,TANA RIGHU,KAREKA NDUKU,53,1,72,8,5301072008,0,2200,0,390,0,119.424915,-9.522239,520,530107200803
6618,NUSA TENGGARA TIMUR,TANA RIGHU,WANOKAZA,53,1,72,9,5301072009,0,1252,0,209,0,119.405387,-9.542303,689,530107200901
6587,NUSA TENGGARA TIMUR,TANA RIGHU,WANOKAZA,53,1,72,9,5301072009,0,1252,0,209,0,119.40421,-9.53945,563,530107200902
6601,NUSA TENGGARA TIMUR,TANA RIGHU,BONDO TERA,53,1,72,10,5301072010,0.146875,1681,0.209459,296,62,119.447009,-9.537425,716,530107201001
6614,NUSA TENGGARA TIMUR,TANA RIGHU,BONDO TERA,53,1,72,10,5301072010,0.146875,1681,0.209459,296,62,119.446518,-9.527224,573,530107201002
6605,NUSA TENGGARA TIMUR,TANA RIGHU,BONDO TERA,53,1,72,10,5301072010,0.146875,1681,0.209459,296,62,119.437215,-9.537777,392,530107201003
6591,NUSA TENGGARA TIMUR,TANA RIGHU,ZALA KADU,53,1,72,11,5301072011,0,1635,0,281,0,119.44469,-9.511009,947,530107201101
6814,NUSA TENGGARA TIMUR,TANA RIGHU,ZALA KADU,53,1,72,11,5301072011,0,1635,0,281,0,119.446279,-9.498565,688,530107201102
6685,NUSA TENGGARA TIMUR,LEWA,KONDAMARA,53,2,10,9,5302010009,0,2011,0,391,0,119.89409,-9.651347,1643,530201000901
6680,NUSA TENGGARA TIMUR,LEWA,KONDAMARA,53,2,10,9,5302010009,0,2011,0,391,0,119.929071,-9.658938,368,530201000902
6671,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.888983,-9.708592,1990,530201001001
6686,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.880434,-9.702101,1357,530201001002
6674,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.878348,-9.69951,440,530201001003
6670,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.868114,-9.696165,260,530201001004
6678,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.884158,-9.704722,158,530201001005
6675,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.879455,-9.698596,131,530201001006
6676,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.88106,-9.698712,121,530201001007
